GeneID,log2FoldChange,padj,tax_id,Org_name,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
121888408,4.650133905457611,7.706586509885216e-21,8240,Thunnus maccoyii,0,live,vipr1b,,vasoactive intestinal peptide receptor 1b,vasoactive intestinal polypeptide receptor 1b,NA,21,NC_056553.1,12426225,12482977,minus,14,NA
121888049,2.195507824737352,2.3989171248346405e-20,8240,Thunnus maccoyii,0,live,tgfbr1b,,"transforming growth factor, beta receptor 1 b",TGF-beta receptor type-1b,NA,21,NC_056553.1,24659326,24737959,minus,10,NA
121905589,2.3609554297252875,7.053510278220868e-20,8240,Thunnus maccoyii,0,live,trip13,,thyroid hormone receptor interactor 13,pachytene checkpoint protein 2 homolog,NA,10,NC_056542.1,17962602,17969301,plus,14,NA
121897079,7.2519235427506885,7.512671727776659e-20,8240,Thunnus maccoyii,0,live,LOC121897079,,leucine-rich repeat-containing G-protein coupled receptor 5-like,leucine-rich repeat-containing G-protein coupled receptor 5-like,NA,5,NC_056537.1,4096099,4134037,minus,16,NA
121902286,2.105098492791238,1.1417430306787188e-19,8240,Thunnus maccoyii,0,live,reep2,,receptor accessory protein 2,receptor expression-enhancing protein 2,NA,8,NC_056540.1,14329220,14341607,minus,8,NA
121901728,2.4081732609501145,2.2750413269733686e-19,8240,Thunnus maccoyii,0,live,hmmr,,hyaluronan-mediated motility receptor (RHAMM),hyaluronan mediated motility receptor,NA,8,NC_056540.1,10539597,10546895,minus,20,NA
121910427,2.098594385031198,2.6274647269105134e-19,8240,Thunnus maccoyii,0,live,LOC121910427,,platelet-derived growth factor receptor beta-like,platelet-derived growth factor receptor beta-like,NA,13,NC_056545.1,207315,242416,plus,28,NA
121906845,3.1709062825457504,1.9811887681943314e-18,8240,Thunnus maccoyii,0,live,LOC121906845,,interleukin-1 receptor type 1-like,interleukin-1 receptor type 1-like,NA,11,NC_056543.1,29333192,29367289,minus,13,NA
121900138,3.2472002062473724,2.2069533921926754e-18,8240,Thunnus maccoyii,0,live,LOC121900138,,adhesion G-protein coupled receptor D2,adhesion G-protein coupled receptor D2,NA,7,NC_056539.1,20589817,20688787,minus,29,NA
121884934,2.2241552693123925,2.263323429526271e-18,8240,Thunnus maccoyii,0,live,ccnf,,cyclin F,cyclin-F,NA,18,NC_056550.1,15748710,15760852,plus,18,NA
121880579,2.2627937203897073,5.1069876583462474e-18,8240,Thunnus maccoyii,0,live,spint1a,,"serine peptidase inhibitor, Kunitz type 1 a",kunitz-type protease inhibitor 1a,NA,16,NC_056548.1,19154486,19163940,minus,11,NA
121905310,3.415138459239489,5.919645648852967e-18,8240,Thunnus maccoyii,0,live,LOC121905310,,chemokine-like receptor 1,chemokine-like receptor 1,NA,10,NC_056542.1,19698010,19704164,plus,2,NA
121906856,2.580314833193867,1.2578625140116907e-17,8240,Thunnus maccoyii,0,live,LOC121906856,,interleukin-1 receptor type 1-like,interleukin-1 receptor type 1-like,NA,11,NC_056543.1,29286413,29329049,minus,15,NA
121901064,3.0056701956796616,3.714578919383334e-17,8240,Thunnus maccoyii,0,live,tie1,,tyrosine kinase with immunoglobulin-like and EGF-like domains 1,tyrosine-protein kinase receptor Tie-1,NA,7,NC_056539.1,26078403,26101728,plus,25,NA
121897263,4.620938167794179,1.3052777125584122e-16,8240,Thunnus maccoyii,0,live,LOC121897263,,receptor-type tyrosine-protein phosphatase beta-like,receptor-type tyrosine-protein phosphatase beta-like,NA,5,NC_056537.1,4143239,4193832,plus,35,NA
121907668,2.3627099384718337,3.1262742630582466e-16,8240,Thunnus maccoyii,0,live,ackr3a,,atypical chemokine receptor 3a,atypical chemokine receptor 3a,NA,11,NC_056543.1,20268078,20273963,minus,2,NA
121904549,3.151080009350958,5.313121618682505e-16,8240,Thunnus maccoyii,0,live,unc5db,,unc-5 netrin receptor Db,netrin receptor UNC5D,NA,9,NC_056541.1,34020086,34206595,plus,18,NA
121896675,2.61396455147807,1.5752377627108769e-15,8240,Thunnus maccoyii,0,live,cd44b,,CD44 molecule (Indian blood group) b,CD44 antigen,NA,5,NC_056537.1,22589941,22602781,plus,8,NA
121910392,2.7194684881586553,3.7269421200684615e-15,8240,Thunnus maccoyii,0,live,fgfr4,,fibroblast growth factor receptor 4,fibroblast growth factor receptor 4,NA,13,NC_056545.1,10252365,10272919,plus,21,NA
121895397,4.467117027700418,4.542394699150433e-15,8240,Thunnus maccoyii,0,live,LOC121895397,,metabotropic glutamate receptor 4-like,metabotropic glutamate receptor 4-like,NA,4,NC_056536.1,24325758,24472001,plus,10,NA
121904484,2.0207332072098327,7.676689270924845e-15,8240,Thunnus maccoyii,0,live,phf19,,PHD finger protein 19,PHD finger protein 19,NA,9,NC_056541.1,338636,365717,plus,14,NA
121880721,2.360915106912139,1.0915294872950372e-13,8240,Thunnus maccoyii,0,live,LOC121880721,,beta-2 adrenergic receptor,beta-2 adrenergic receptor,NA,16,NC_056548.1,332956,336781,plus,3,NA
121892115,5.810880029746721,1.199498851826662e-13,8240,Thunnus maccoyii,0,live,slitrk6,,"SLIT and NTRK-like family, member 6",SLIT and NTRK-like protein 6,NA,24,NC_056556.1,13739128,13755859,plus,2,NA
121909373,5.299771889305841,2.8445368096165846e-13,8240,Thunnus maccoyii,0,live,pth1r,,parathyroid hormone 1 receptor,parathyroid hormone/parathyroid hormone-related peptide receptor,NA,12,NC_056544.1,18748881,18803452,minus,13,NA
121901160,2.4694643725714145,5.705967923918866e-12,8240,Thunnus maccoyii,0,live,LOC121901160,,LIM domain containing preferred translocation partner in lipoma,lipoma-preferred partner,NA,7,NC_056539.1,6867352,7003976,plus,11,NA
121911752,2.869896152590136,5.819888921466913e-12,8240,Thunnus maccoyii,0,live,fbxo5,,F-box protein 5,F-box only protein 5,NA,14,NC_056546.1,9258106,9261852,minus,6,NA
121884101,2.4977748647931857,8.991574935518167e-12,8240,Thunnus maccoyii,0,live,fzd2,,frizzled class receptor 2,frizzled-2,NA,18,NC_056550.1,21202732,21205048,plus,1,NA
121913625,2.4333937988076992,1.335994719402345e-11,8240,Thunnus maccoyii,0,live,LOC121913625,,TGF-beta receptor type-2-like,TGF-beta receptor type-2-like,NA,15,NC_056547.1,12096992,12117674,minus,7,NA
121886645,4.995037194617089,3.674825378759782e-11,8240,Thunnus maccoyii,0,live,ptprea,,protein tyrosine phosphatase receptor type Ea,receptor-type tyrosine-protein phosphatase epsilon,NA,20,NC_056552.1,10299518,10352853,minus,25,NA
121909689,2.1625266318328777,1.0695925573911718e-10,8240,Thunnus maccoyii,0,live,LOC121909689,,adhesion G-protein coupled receptor G2,adhesion G-protein coupled receptor G2,NA,13,NC_056545.1,19891480,19914126,minus,33,NA
121905130,4.68552333081602,1.215931344053491e-10,8240,Thunnus maccoyii,0,live,chrna6,,"cholinergic receptor, nicotinic, alpha 6",neuronal acetylcholine receptor subunit alpha-6,NA,2,NC_056534.1,28555795,28571269,minus,8,NA
121913912,6.212466086820125,1.3411473919228123e-10,8240,Thunnus maccoyii,0,live,LOC121913912,,B2 bradykinin receptor-like,B2 bradykinin receptor-like,NA,16,NC_056548.1,12937372,12942692,minus,2,NA
121881245,8.841505533248966,3.176546722869271e-10,8240,Thunnus maccoyii,0,live,LOC121881245,,B2 bradykinin receptor-like,B2 bradykinin receptor-like,NA,16,NC_056548.1,12954945,12958430,minus,2,NA
121908130,6.660313908678821,7.011677087681015e-10,8240,Thunnus maccoyii,0,live,ednrba,,endothelin receptor Ba,endothelin receptor Ba,NA,12,NC_056544.1,8060965,8067311,minus,8,NA
121895309,2.842769175637725,1.8520180169522146e-9,8240,Thunnus maccoyii,0,live,LOC121895309,,rhodopsin-like,rhodopsin-like,NA,4,NC_056536.1,21972989,21976227,minus,5,NA
121911227,4.404887124866587,2.2976108314706697e-9,8240,Thunnus maccoyii,0,live,LOC121911227,,G-protein coupled receptor 4-like,G-protein coupled receptor 4-like|ovarian cancer G-protein coupled receptor 1-like,NA,14,NC_056546.1,1911127,2634225,minus,8,NA
121913699,2.8901177065403703,2.9710417198559836e-9,8240,Thunnus maccoyii,0,live,LOC121913699,,relaxin-3 receptor 1-like,relaxin-3 receptor 1-like,NA,15,NC_056547.1,14080811,14145383,minus,12,NA
121913513,3.397606744993304,5.632070273899852e-9,8240,Thunnus maccoyii,0,live,chrnb3a,,cholinergic receptor nicotinic beta 3 subunit a,neuronal acetylcholine receptor subunit beta-3a,NA,2,NC_056534.1,28522142,28535990,minus,9,NA
121886242,2.8500950423982694,6.786560741327228e-9,8240,Thunnus maccoyii,0,live,unc5cb,,unc-5 netrin receptor Cb,netrin receptor UNC5C,NA,19,NC_056551.1,14971271,15095377,minus,18,NA
121901629,4.976976729817095,6.9619739483208305e-9,8240,Thunnus maccoyii,0,live,kdrl,,kinase insert domain receptor like,vascular endothelial growth factor receptor kdr-like,NA,8,NC_056540.1,20104645,20153671,minus,33,NA
121889385,6.224929730747365,1.5741516954344257e-8,8240,Thunnus maccoyii,0,live,LOC121889385,,uncharacterized LOC121889385,uncharacterized protein LOC121889385,NA,22,NC_056554.1,21874538,21877428,minus,2,NA
121908151,4.462420611518252,2.4141311805478332e-8,8240,Thunnus maccoyii,0,live,lamc2,,"laminin, gamma 2",laminin subunit gamma-2,NA,12,NC_056544.1,31800810,31825796,plus,24,NA
121911187,2.5754857678947363,7.883066527023366e-8,8240,Thunnus maccoyii,0,live,LOC121911187,,transient receptor potential channel pyrexia,transient receptor potential channel pyrexia,NA,14,NC_056546.1,1165673,1178220,minus,19,NA
121884983,3.3750172709426565,1.3191613878808115e-7,8240,Thunnus maccoyii,0,live,trpm4a,,"transient receptor potential cation channel, subfamily M, member 4a",transient receptor potential cation channel subfamily M member 4a,NA,18,NC_056550.1,1609419,1648400,minus,28,NA
121884899,5.813365977191455,1.39353395021256e-7,8240,Thunnus maccoyii,0,live,LOC121884899,,urotensin-2 receptor,urotensin-2 receptor,NA,2,NC_056534.1,7092350,7093434,minus,1,NA
121884975,2.2066247305362108,1.8571024912829634e-7,8240,Thunnus maccoyii,0,live,LOC121884975,,cytohesin-3,cytohesin-3,NA,18,NC_056550.1,14876081,14912181,minus,14,NA
121911313,4.235882304312846,2.1124973796031539e-7,8240,Thunnus maccoyii,0,live,edaradd,,EDAR-associated death domain,ectodysplasin-A receptor-associated adapter protein,NA,14,NC_056546.1,28990056,29007870,minus,7,NA
121898840,2.730063521275819,2.6142238053490715e-7,8240,Thunnus maccoyii,0,live,chrna10a,,"cholinergic receptor, nicotinic, alpha 10a",neuronal acetylcholine receptor subunit alpha-10a,NA,6,NC_056538.1,25199412,25203579,plus,5,NA
121909981,2.2513403120195443,3.711216446947926e-7,8240,Thunnus maccoyii,0,live,ephb4a,,eph receptor B4a,ephrin type-B receptor 4a,NA,13,NC_056545.1,20399126,20433798,plus,17,NA
121903725,2.589426562338207,5.12004917893474e-7,8240,Thunnus maccoyii,0,live,adora2aa,,adenosine A2a receptor a,adenosine A2a receptor a,NA,9,NC_056541.1,29968133,29977424,minus,3,NA
121905193,5.523292438047072,5.82640195372665e-7,8240,Thunnus maccoyii,0,live,chrnb5a,,"cholinergic receptor, nicotinic, beta 5a",neuronal acetylcholine receptor subunit beta-2,NA,2,NC_056534.1,28593772,28604952,minus,8,NA
121883699,2.503911353316736,1.5809637730170478e-6,8240,Thunnus maccoyii,0,live,prkar1b,,"protein kinase, cAMP-dependent, regulatory, type I, beta",cAMP-dependent protein kinase type I-beta regulatory subunit,NA,18,NC_056550.1,15337730,15404328,minus,11,NA
121888104,2.285882458963759,2.5475022113557626e-6,8240,Thunnus maccoyii,0,live,LOC121888104,,vasoactive intestinal polypeptide receptor 2-like,vasoactive intestinal polypeptide receptor 2-like,NA,21,NC_056553.1,4176983,4223997,plus,14,NA
121907099,2.4421934376025,4.615486099528425e-6,8240,Thunnus maccoyii,0,live,LOC121907099,,ephrin type-A receptor 6-like,ephrin type-A receptor 6-like,NA,11,NC_056543.1,12950862,13142465,minus,17,NA
121904521,2.176289144496022,5.209665068518645e-6,8240,Thunnus maccoyii,0,live,tacr1a,,tachykinin receptor 1a,tachykinin receptor 1a,NA,9,NC_056541.1,34806875,34847268,plus,7,NA
121880973,4.583600176008898,7.442313893267663e-6,8240,Thunnus maccoyii,0,live,gcgrb,,glucagon receptor b,glucagon receptor,NA,2,NC_056534.1,31664619,31683670,plus,14,NA
121898833,3.235606544328006,1.736483407116169e-5,8240,Thunnus maccoyii,0,live,gucy2f,,"guanylate cyclase 2F, retinal",retinal guanylyl cyclase 2,NA,6,NC_056538.1,9900952,9911452,minus,19,NA
121907917,2.5233706243027725,2.5171825644417987e-5,8240,Thunnus maccoyii,0,live,adcyap1r1a,,adenylate cyclase activating polypeptide 1a (pituitary) receptor type I,adenylate cyclase activating polypeptide 1a (pituitary) receptor type I,NA,12,NC_056544.1,19872775,19900646,minus,15,NA
121881092,3.6813547921637406,2.7454705048854133e-5,8240,Thunnus maccoyii,0,live,LOC121881092,,B2 bradykinin receptor-like,B2 bradykinin receptor-like,NA,16,NC_056548.1,12950946,12951938,minus,1,NA
121913911,2.374584106739205,3.591670173455286e-5,8240,Thunnus maccoyii,0,live,LOC121913911,,B2 bradykinin receptor-like,B2 bradykinin receptor-like,NA,16,NC_056548.1,12923265,12930667,minus,2,NA
121901683,2.992045276998007,3.617054426745517e-5,8240,Thunnus maccoyii,0,live,LOC121901683,,neuronal acetylcholine receptor subunit non-alpha-2-like,neuronal acetylcholine receptor subunit non-alpha-2-like,NA,8,NC_056540.1,17951143,17960197,plus,6,NA
121905006,4.317341770577372,4.649767917935513e-5,8240,Thunnus maccoyii,0,live,ephb6,,eph receptor B6,ephrin type-B receptor 5,NA,10,NC_056542.1,14494134,14534493,minus,19,NA
121882598,2.3104969906732538,6.429394597616726e-5,8240,Thunnus maccoyii,0,live,opn8b,,"opsin 8, group member b","opsin 8, group member b",NA,17,NC_056549.1,10711419,10729171,plus,4,NA
121904499,2.0635110900683418,8.075686935959652e-5,8240,Thunnus maccoyii,0,live,itga2.2,,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor), tandem duplicate 2",integrin alpha-2,NA,9,NC_056541.1,11779400,11798561,minus,30,NA
121898609,3.8675920586657093,1.0804344249328674e-4,8240,Thunnus maccoyii,0,live,LOC121898609,,succinate receptor 1-like,succinate receptor 1-like,NA,6,NC_056538.1,21344350,21387603,minus,10,NA
121881392,3.9158372080899677,1.9183165738770905e-4,8240,Thunnus maccoyii,0,live,LOC121881392,,prostaglandin D2 receptor 2,prostaglandin D2 receptor 2,NA,2,NC_056534.1,27237681,27239113,minus,1,NA
121905340,2.425808794159557,1.9830249739499737e-4,8240,Thunnus maccoyii,0,live,LOC121905340,,galanin receptor type 1-like,galanin receptor type 1-like,NA,10,NC_056542.1,26077094,26091223,plus,3,NA
121905412,2.9117694962462597,3.574807607949524e-4,8240,Thunnus maccoyii,0,live,ifnlr1,,interferon lambda receptor 1,interferon lambda receptor 1,NA,10,NC_056542.1,10617706,10624833,plus,7,NA
121891039,2.352528282899564,4.636474126161641e-4,8240,Thunnus maccoyii,0,live,opn1lw1,,"opsin 1 (cone pigments), long-wave-sensitive, 1",red-sensitive opsin-1,NA,3,NC_056535.1,8066423,8072199,minus,6,NA
121910887,2.1436969866803506,5.481076483059247e-4,8240,Thunnus maccoyii,0,live,LOC121910887,,gamma-aminobutyric acid receptor subunit beta-2,gamma-aminobutyric acid receptor subunit beta-2,NA,13,NC_056545.1,12810681,12881506,minus,9,NA
121882669,2.00593953259993,6.626156932314796e-4,8240,Thunnus maccoyii,0,live,adra1d,,adrenoceptor alpha 1D,alpha-1D adrenergic receptor,NA,2,NC_056534.1,18272060,18280175,plus,2,NA
121905208,2.0115040050196047,8.268281041557152e-4,8240,Thunnus maccoyii,0,live,grik2,,"glutamate receptor, ionotropic, kainate 2","glutamate receptor ionotropic, kainate 2",NA,10,NC_056542.1,32577728,32779556,plus,18,NA
121899885,2.576079667369574,0.0010264674576034047,8240,Thunnus maccoyii,0,live,tbxa2r,,thromboxane A2 receptor,thromboxane A2 receptor,NA,7,NC_056539.1,20832640,20859105,minus,6,NA
121905325,2.790699103675242,0.0016316045189983292,8240,Thunnus maccoyii,0,live,LOC121905325,,urokinase plasminogen activator surface receptor-like,urokinase plasminogen activator surface receptor-like,NA,10,NC_056542.1,19493061,19495162,minus,4,NA
121906810,2.8742326276025327,0.002110209007660769,8240,Thunnus maccoyii,0,live,edar,,ectodysplasin A receptor,tumor necrosis factor receptor superfamily member EDAR,NA,11,NC_056543.1,13792386,13840261,minus,14,NA
121909863,2.6649372913651597,0.002144730961806614,8240,Thunnus maccoyii,0,live,gabra6b,,gamma-aminobutyric acid type A receptor subunit alpha6b,gamma-aminobutyric acid receptor subunit alpha-6,NA,13,NC_056545.1,12885911,12923923,plus,12,NA
121910252,2.223875144863769,0.0024897307924064134,8240,Thunnus maccoyii,0,live,LOC121910252,,adhesion G-protein coupled receptor G2-like,adhesion G-protein coupled receptor G2-like,NA,13,NC_056545.1,14675899,14677621,minus,3,NA
121891584,3.576343117741665,0.0027142113115994843,8240,Thunnus maccoyii,0,live,LOC121891584,,taste receptor type 1 member 3-like,taste receptor type 1 member 3-like,NA,3,NC_056535.1,20836192,20836812,minus,1,NA
121886387,2.7834000870642597,0.0027275103539375575,8240,Thunnus maccoyii,0,live,ngfrb,,nerve growth factor receptor b,nerve growth factor receptor b,NA,20,NC_056552.1,15086480,15116324,plus,6,NA
121882467,2.4294176879947806,0.0028811231267823942,8240,Thunnus maccoyii,0,live,paqr8,,progestin and adipoQ receptor family member VIII,membrane progestin receptor beta,NA,17,NC_056549.1,7893792,7896567,minus,2,NA
121895706,3.0596177476751847,0.0032206007233731974,8240,Thunnus maccoyii,0,live,adora1b,,adenosine A1 receptor b,adenosine receptor A1b,NA,4,NC_056536.1,15706999,15710273,minus,2,NA
121885737,2.1671228954202304,0.003643229924308612,8240,Thunnus maccoyii,0,live,LOC121885737,,sphingosine 1-phosphate receptor 3,sphingosine 1-phosphate receptor 3,NA,19,NC_056551.1,18042205,18046415,minus,2,NA
