tax_id,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
8240,Thunnus maccoyii,121886046,0,live,vldlr,,very low density lipoprotein receptor,very low-density lipoprotein receptor,,19,NC_056551.1,4862257,4934401,minus,20,
8240,Thunnus maccoyii,121886025,0,live,bmpr1bb,,"bone morphogenetic protein receptor, type IBb","bone morphogenetic protein receptor, type IBb",,19,NC_056551.1,14913506,14971176,plus,16,
8240,Thunnus maccoyii,121885602,0,live,si:dkey-247m21.3,,5-hydroxytryptamine receptor 4,5-hydroxytryptamine receptor 4,,19,NC_056551.1,10421061,10478942,minus,11,
8240,Thunnus maccoyii,121884701,0,live,sstr3,,somatostatin receptor 3,somatostatin receptor type 5,,18,NC_056550.1,24913790,24935204,minus,4,
8240,Thunnus maccoyii,121884613,0,live,grin2aa,,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A, a","glutamate receptor ionotropic, NMDA 2A",,18,NC_056550.1,10385924,10548122,minus,20,
8240,Thunnus maccoyii,121883837,0,live,lpar2a,,lysophosphatidic acid receptor 2a,lysophosphatidic acid receptor 2a,,18,NC_056550.1,18191813,18196170,minus,6,
8240,Thunnus maccoyii,121882870,0,live,cnr1,,cannabinoid receptor 1,cannabinoid receptor 1,,17,NC_056549.1,21588559,21600818,plus,7,
8240,Thunnus maccoyii,121882260,0,live,si:dkey-71h2.2,,low density lipoprotein receptor adapter protein 1,low density lipoprotein receptor adapter protein 1,,17,NC_056549.1,15329517,15388567,minus,16,
8240,Thunnus maccoyii,121882101,0,live,ptprk,,protein tyrosine phosphatase receptor type K,receptor-type tyrosine-protein phosphatase kappa,,17,NC_056549.1,21798485,21915850,minus,38,
8240,Thunnus maccoyii,121881854,0,live,adgrg6,,adhesion G protein-coupled receptor G6,adhesion G-protein coupled receptor G6,,17,NC_056549.1,6188399,6320568,minus,36,
8240,Thunnus maccoyii,121881829,0,live,epha7,,eph receptor A7,ephrin type-A receptor 7,,17,NC_056549.1,27468794,27559406,plus,19,
8240,Thunnus maccoyii,121881502,0,live,esrrb,,estrogen-related receptor beta,steroid hormone receptor ERR2,,16,NC_056548.1,17855631,17900630,plus,11,
8240,Thunnus maccoyii,121881402,0,live,ldlrap1b,,low density lipoprotein receptor adaptor protein 1b,low density lipoprotein receptor adapter protein 1b,,16,NC_056548.1,21203982,21236728,plus,10,
8240,Thunnus maccoyii,121881026,0,live,lrp4,,low density lipoprotein receptor-related protein 4,low-density lipoprotein receptor-related protein 4,,1,NC_056533.1,33514524,33630606,plus,38,
8240,Thunnus maccoyii,121880648,0,live,chrm5a,,"cholinergic receptor, muscarinic 5a",muscarinic acetylcholine receptor M5a,,16,NC_056548.1,18524738,18555435,minus,8,
8240,Thunnus maccoyii,121880557,0,live,esr2b,,estrogen receptor 2b,estrogen receptor 2b,,16,NC_056548.1,3581176,3622728,minus,13,
8240,Thunnus maccoyii,121913940,0,live,LOC121913940,,G-protein coupled receptor 135,G-protein coupled receptor 135,,16,NC_056548.1,28859432,28865494,minus,3,
8240,Thunnus maccoyii,121913699,0,live,LOC121913699,,relaxin-3 receptor 1-like,relaxin-3 receptor 1-like,,15,NC_056547.1,14080811,14145383,minus,12,
8240,Thunnus maccoyii,121912922,0,live,LOC121912922,,growth factor receptor-bound protein 10-like,growth factor receptor-bound protein 10-like,,15,NC_056547.1,23354337,23402355,plus,20,
8240,Thunnus maccoyii,121912715,0,live,LOC121912715,,ephrin type-A receptor 10-like,ephrin type-A receptor 10-like|ephrin type-A receptor 7-like,,15,NC_056547.1,10512531,10667085,plus,23,
8240,Thunnus maccoyii,121912520,0,live,LOC121912520,,retinoic acid receptor beta-like,retinoic acid receptor beta-like,,15,NC_056547.1,27808491,28032957,plus,14,
8240,Thunnus maccoyii,121912272,0,live,LOC121912272,,putative adhesion G protein-coupled receptor E4P,adhesion G protein-coupled receptor E5|putative adhesion G protein-coupled receptor E4P,,2,NC_056534.1,32279718,32339164,minus,30,
8240,Thunnus maccoyii,121912177,0,live,LOC121912177,,adhesion G protein-coupled receptor A1,adhesion G protein-coupled receptor A1|adhesion G protein-coupled receptor A3,,14,NC_056546.1,24950657,25131967,minus,26,
8240,Thunnus maccoyii,121911777,0,live,LOC121911777,,G-protein coupled receptor 4-like,G-protein coupled receptor 4-like|lysophosphatidic acid receptor 4-like|ovarian cancer G-protein coupled receptor 1-like,,14,NC_056546.1,3481226,3515030,plus,11,
8240,Thunnus maccoyii,121911630,0,live,LOC121911630,,ryanodine receptor 2-like,muscarinic acetylcholine receptor M3-like|ryanodine receptor 2-like,,14,NC_056546.1,11830368,12019699,plus,113,
8240,Thunnus maccoyii,121911369,0,live,LOC121911369,,G-protein coupled receptor 4-like,G-protein coupled receptor 4-like,,14,NC_056546.1,2707412,2743435,minus,7,
8240,Thunnus maccoyii,121911227,0,live,LOC121911227,,G-protein coupled receptor 4-like,G-protein coupled receptor 4-like|ovarian cancer G-protein coupled receptor 1-like,,14,NC_056546.1,1911127,2634225,minus,8,
8240,Thunnus maccoyii,121910579,0,live,LOC121910579,,alpha-1A adrenergic receptor-like,alpha-1A adrenergic receptor-like|alpha-1B adrenergic receptor-like,,13,NC_056545.1,862572,880336,minus,8,
8240,Thunnus maccoyii,121909994,0,live,LOC121909994,,tumor necrosis factor receptor superfamily member 14-like,tumor necrosis factor receptor superfamily member 14-like,,13,NC_056545.1,2834840,2846517,plus,9,
8240,Thunnus maccoyii,121909989,0,live,LOC121909989,,tumor necrosis factor receptor superfamily member 14-like,tumor necrosis factor receptor superfamily member 14-like,,13,NC_056545.1,2419215,2470645,minus,13,
8240,Thunnus maccoyii,121909754,0,live,LOC121909754,,glucocorticoid receptor-like,glucocorticoid receptor-like,,13,NC_056545.1,13806968,13881674,minus,12,
8240,Thunnus maccoyii,121909689,0,live,LOC121909689,,adhesion G-protein coupled receptor G2,adhesion G-protein coupled receptor G2,,13,NC_056545.1,19891480,19914126,minus,33,
8240,Thunnus maccoyii,121909296,0,live,LOC121909296,,adhesion G protein-coupled receptor L3-like,adhesion G protein-coupled receptor L3-like,,2,NC_056534.1,38580840,38625285,plus,18,
8240,Thunnus maccoyii,121909077,0,live,LOC121909077,,receptor-type tyrosine-protein phosphatase F,receptor-type tyrosine-protein phosphatase F,,12,NC_056544.1,21648530,21834891,minus,35,
8240,Thunnus maccoyii,121908429,0,live,LOC121908429,,low-density lipoprotein receptor-related protein 8-like,low-density lipoprotein receptor-related protein 8-like,,12,NC_056544.1,9234813,9315591,minus,18,
8240,Thunnus maccoyii,121908234,0,live,LOC121908234,,receptor-type tyrosine-protein phosphatase mu-like,receptor-type tyrosine-protein phosphatase mu-like,,12,NC_056544.1,22626328,22796793,plus,44,
8240,Thunnus maccoyii,121907642,0,live,LOC121907642,,interleukin-1 receptor type 1-like,interleukin-1 receptor type 1-like,,11,NC_056543.1,29403386,29462367,minus,22,
8240,Thunnus maccoyii,121907447,0,live,LOC121907447,,secretin receptor,secretin receptor,,11,NC_056543.1,2603863,2651031,plus,17,
8240,Thunnus maccoyii,121905514,0,live,LOC121905514,,retinoic acid receptor beta-like,retinoic acid receptor beta-like,,10,NC_056542.1,6837104,6855238,minus,8,
8240,Thunnus maccoyii,121905235,0,live,LOC121905235,,low-density lipoprotein receptor class A domain-containing protein 4-like,low-density lipoprotein receptor class A domain-containing protein 4-like,,10,NC_056542.1,29762646,29938046,plus,9,
8240,Thunnus maccoyii,121903591,0,live,LOC121903591,,nuclear receptor subfamily 6 group A member 1-A-like,nuclear receptor subfamily 6 group A member 1-A-like,,9,NC_056541.1,33068797,33157395,minus,11,
8240,Thunnus maccoyii,121901266,0,live,LOC121901266,,short transient receptor potential channel 7,short transient receptor potential channel 7,,8,NC_056540.1,17048248,17112064,minus,22,
8240,Thunnus maccoyii,121900265,0,live,LOC121900265,,ephrin type-B receptor 3-like,ephrin type-B receptor 3-like,,7,NC_056539.1,19759278,19822079,plus,16,
8240,Thunnus maccoyii,121900138,0,live,LOC121900138,,adhesion G-protein coupled receptor D2,adhesion G-protein coupled receptor D2,,7,NC_056539.1,20589817,20688787,minus,29,
8240,Thunnus maccoyii,121899569,0,live,LOC121899569,,extracellular calcium-sensing receptor-like,extracellular calcium-sensing receptor-like,,6,NC_056538.1,21880560,21884265,plus,9,
8240,Thunnus maccoyii,121899092,0,live,LOC121899092,,extracellular calcium-sensing receptor-like,extracellular calcium-sensing receptor-like,,6,NC_056538.1,21898202,21906675,minus,11,
8240,Thunnus maccoyii,121898609,0,live,LOC121898609,,succinate receptor 1-like,succinate receptor 1-like,,6,NC_056538.1,21344350,21387603,minus,10,
8240,Thunnus maccoyii,121897390,0,live,LOC121897390,,adhesion G-protein coupled receptor G5-like,adhesion G-protein coupled receptor G5-like,,1,NC_056533.1,7121411,7134692,plus,16,
8240,Thunnus maccoyii,121896231,0,live,LOC121896231,,tumor necrosis factor receptor superfamily member 1A-like,tumor necrosis factor receptor superfamily member 1A-like,,4,NC_056536.1,13609296,13622419,plus,10,
8240,Thunnus maccoyii,121895877,0,live,LOC121895877,,probable G-protein coupled receptor 173,probable G-protein coupled receptor 173,,4,NC_056536.1,25511949,25517975,plus,6,
8240,Thunnus maccoyii,121894735,0,live,LOC121894735,,low-density lipoprotein receptor-related protein 1-like,low-density lipoprotein receptor-related protein 1-like,,3,NC_056535.1,15264208,15362900,plus,90,
8240,Thunnus maccoyii,121894278,0,live,LOC121894278,,retinoic acid receptor gamma-A-like,retinoic acid receptor gamma-A-like|retinoic acid receptor gamma-like,,3,NC_056535.1,15142706,15193978,minus,14,
8240,Thunnus maccoyii,121893896,0,live,LOC121893896,,olfactory receptor class A-like protein 4,olfactory receptor class A-like protein 4,,3,NC_056535.1,17603637,17618952,minus,7,
8240,Thunnus maccoyii,121891835,0,live,LOC121891835,,aryl hydrocarbon receptor-like,aryl hydrocarbon receptor-like,,24,NC_056556.1,3030211,3082769,minus,16,
8240,Thunnus maccoyii,121889668,0,live,LOC121889668,,cysteinyl leukotriene receptor 2-like,cysteinyl leukotriene receptor 2-like,,22,NC_056554.1,25242949,25261880,plus,6,
8240,Thunnus maccoyii,121889010,0,live,LOC121889010,,receptor-type tyrosine-protein phosphatase delta,receptor-type tyrosine-protein phosphatase delta,,22,NC_056554.1,10592052,10961635,minus,46,
8240,Thunnus maccoyii,121888982,0,live,LOC121888982,,adhesion G protein-coupled receptor L3-like,adhesion G protein-coupled receptor L3-like,,22,NC_056554.1,11141538,11386102,plus,31,
8240,Thunnus maccoyii,121888104,0,live,LOC121888104,,vasoactive intestinal polypeptide receptor 2-like,vasoactive intestinal polypeptide receptor 2-like,,21,NC_056553.1,4176983,4223997,plus,14,
8240,Thunnus maccoyii,121887123,0,live,LOC121887123,,muscarinic acetylcholine receptor M1-like,muscarinic acetylcholine receptor M1-like,,20,NC_056552.1,25888988,25917887,minus,9,
8240,Thunnus maccoyii,121885598,0,live,LOC121885598,,low-density lipoprotein receptor-related protein 2-like,low-density lipoprotein receptor-related protein 2-like,,19,NC_056551.1,10669345,10699841,minus,49,
8240,Thunnus maccoyii,121885146,0,live,LOC121885146,,proteinase-activated receptor 2-like,proteinase-activated receptor 2-like,,19,NC_056551.1,24075773,24091828,minus,13,
8240,Thunnus maccoyii,121885145,0,live,LOC121885145,,proteinase-activated receptor 2-like,proteinase-activated receptor 2-like,,19,NC_056551.1,24100335,24117837,minus,15,
8240,Thunnus maccoyii,121885143,0,live,LOC121885143,,proteinase-activated receptor 2-like,proteinase-activated receptor 2-like,,19,NC_056551.1,24122752,24147323,minus,16,
8240,Thunnus maccoyii,121882532,0,live,LOC121882532,,G-protein coupled receptor 6,G-protein coupled receptor 6,,17,NC_056549.1,17125714,17130407,plus,5,
8240,Thunnus maccoyii,121882331,0,live,LOC121882331,,steroid hormone receptor ERR2-like,steroid hormone receptor ERR2-like,,17,NC_056549.1,15844069,15943313,minus,13,
8240,Thunnus maccoyii,121909864,0,live,gabrg2,,gamma-aminobutyric acid type A receptor subunit gamma2,gamma-aminobutyric acid receptor subunit gamma-2,,13,NC_056545.1,13030577,13088559,plus,11,
8240,Thunnus maccoyii,121909781,0,live,p2rx1,,"purinergic receptor P2X, ligand-gated ion channel, 1",P2X purinoceptor 1,,13,NC_056545.1,26060611,26082392,plus,15,
8240,Thunnus maccoyii,121900662,0,live,ror1,,receptor tyrosine kinase-like orphan receptor 1,inactive tyrosine-protein kinase transmembrane receptor ROR1,,7,NC_056539.1,25125733,25262176,minus,12,
8240,Thunnus maccoyii,121880953,0,live,gabrr2a,,gamma-aminobutyric acid type A receptor subunit rho2a,gamma-aminobutyric acid receptor subunit rho-2a,,16,NC_056548.1,28403549,28469932,minus,11,
8240,Thunnus maccoyii,121894833,0,live,LOC121894833,,adenosine receptor A1-like,adenosine receptor A1-like,,3,NC_056535.1,13502272,13516273,minus,8,
8240,Thunnus maccoyii,121886738,0,live,LOC121886738,,5-hydroxytryptamine receptor 3A-like,5-hydroxytryptamine receptor 3A-like,,20,NC_056552.1,9136904,9150219,minus,12,
8240,Thunnus maccoyii,121885027,0,live,LOC121885027,,putative adhesion G protein-coupled receptor E4P,adhesion G protein-coupled receptor E1|putative adhesion G protein-coupled receptor E4P,,18,NC_056550.1,18053110,18061921,plus,19,
8240,Thunnus maccoyii,121881800,0,live,LOC121881800,,adhesion G protein-coupled receptor F5-like,adhesion G protein-coupled receptor F5-like,,17,NC_056549.1,24858967,24882717,plus,27,
8240,Thunnus maccoyii,121912275,0,live,ptpn20,,protein tyrosine phosphatase non-receptor type 20,FERM and PDZ domain-containing protein 2|tyrosine-protein phosphatase non-receptor type 13,,14,NC_056546.1,17478963,17506393,minus,48,
8240,Thunnus maccoyii,121912057,0,live,traf6,,TNF receptor-associated factor 6,TNF receptor-associated factor 6,,1,NC_056533.1,32712334,32718998,minus,9,
8240,Thunnus maccoyii,121911882,0,live,gpr75,,G protein-coupled receptor 75,probable G-protein coupled receptor 75,,14,NC_056546.1,19475549,19480705,plus,3,
8240,Thunnus maccoyii,121911769,0,live,trpm7,,"transient receptor potential cation channel, subfamily M, member 7",transient receptor potential cation channel subfamily M member 7,,1,NC_056533.1,14069408,14111566,minus,41,
8240,Thunnus maccoyii,121910198,0,live,trpc6a,,"transient receptor potential cation channel, subfamily C, member 6a",short transient receptor potential channel 6a,,13,NC_056545.1,19065526,19077233,plus,14,
8240,Thunnus maccoyii,121909744,0,live,ar,,androgen receptor,androgen receptor,,13,NC_056545.1,22599505,22624283,minus,8,
8240,Thunnus maccoyii,121908902,0,live,ackr4a,,atypical chemokine receptor 4a,atypical chemokine receptor 4,,12,NC_056544.1,20820573,20825063,plus,3,
