"","category","ratio","pvalue","p.adjust","qvalue","ID","GeneRatio","BgRatio","Count","geneID"
"11","ko04091  Lectins",1.10338048537985,0.276312433808787,0.701408485822304,0.60408386338763,"ko04091","33/6104","87/17756",33,"LOC121885527/colec12/LOC121913659/LOC121883761/LOC121912891/LOC121881471/LOC121889871/LOC121895179/colec10/LOC121881351/fbxo2/ly75/edem3/os9/LOC121909394/LOC121905611/lman1/LOC121898195/acanb/LOC121896077/LOC121889503/l1cama/cd248a/calr/LOC121895767/LOC121905612/LOC121882468/LOC121888392/LOC121900435/LOC121903452/m6pr/clgn/LOC121909298"
"12","ko01002  Peptidases and inhibitors",1.03048508710025,0.325255477554554,0.766673625664307,0.66029307473481,"ko01002","175/6104","494/17756",175,"adam19a/plat/ctsh/capn3b/prss35/mmp13b/adam8b/mmp9/capn1/ctsc/LOC121891705/mmp14a/psmb6/mgll/phex/zgc:152830/atg4c/adam8a/otub1b/napsa/LOC121906023/LOC121886247/rhbdd1/LOC121902898/usp16/LOC121900861/LOC121906491/nagk/masp1/LOC121906794/xpnpep2/pcsk7/bace2/ctss2.1/casp10/LOC121912256/LOC121894537/LOC121888433/LOC121898823/atg4b/cpn1/blmh/LOC121910200/prss12/psma6a/ctsba/LOC121899173/senp3b/usp44/asah1b/malt2/LOC121889258/ctsa/usp37/adamts12/LOC121886157/snx30/mmp15a/cpda/tnfaip3/mmp19/pappaa/casp3a/cpa6/lta4h/LOC121886706/abhd12/ctsd/gmps/erap1b/LOC121894060/adam17a/LOC121885683/bace1/mmp14b/scrn2/si:ch211-122f10.4/mmp11a/nrd1b/LOC121888476/rce1a/ece1/cps1/tmem184ba/lonp2/ephx1/si:cabz01101003.1/ggh/LOC121911736/si:ch211-117n7.7/pitrm1/otud7a/ece2b/LOC121905317/ctso/LOC121892064/tm9sf2/otud4/plaua/LOC121898935/psen2/asns/LOC121891704/afg3l2/tasp1/LOC121886874/ctsf/snx7/LOC121882796/LOC121898233/gfpt1/LOC121897584/LOC121902024/cyldl/capn8/psmb8a/cad/mmp28/f2/spg7/LOC121899464/LOC121906581/htra3a/bmp1a/taf2/adam10a/mmp2/lonp1/dpp4/LOC121899201/LOC121907144/gfpt2/mmp25b/usp19/LOC121894747/LOC121894829/LOC121885584/LOC121890598/scpep1/LOC121903005/LOC121901987/LOC121888794/LOC121909730/adam19b/LOC121883946/ctsz/psen1/LOC121913021/ctsla/adam15/usp12a/furina/adamts1/LOC121901967/LOC121883352/si:dkey-69o16.5/shq1/usp1/uchl5/LOC121883588/LOC121880638/psmb1/LOC121911775/psmb2/LOC121901518/dpp7/LOC121904658/capn2b/psma3/lmln/usp14/LOC121891145/tpp2/psma8/LOC121898115"
"13","ko01007  Amino acid related enzymes",1.07405988506906,0.376708710475007,0.828759163045016,0.713763872478961,"ko01007","24/6104","65/17756",24,"tat/LOC121887888/si:ch211-217a12.1/bcat2/psat1/LOC121912900/LOC121895901/alas1/got1/LOC121880811/LOC121885474/nars2/got2b/fars2/mars2/aars2/tars1/tars2/gpt/sptlc1/dars2/gcat/cars2/farsb"
"14","ko01003  Glycosyltransferases",1.01411617588707,0.465227910557005,0.959532565523823,0.826391683226259,"ko01003","76/6104","218/17756",76,"mpdu1b/LOC121887271/LOC121881793/plod3/plod2/LOC121884996/LOC121894669/LOC121907641/b4galt1l/lfng/LOC121901197/gal3st3/b3gnt5b/gal3st2/b3gat3/gxylt2/LOC121887782/LOC121897083/chsy1/chst7/csgalnact2/b3gnt9/LOC121901253/b3gnt5a/gal3st4/chst2b/gys1/hs2st1b/usta/st8sia6/mgat3b/pomt2/pofut1/galnt7/alg3/mfng/galnt14/csgalnact1a/st3gal4/LOC121901260/galnt2/b3galt4/eogt/mgat5/LOC121881850/LOC121896390/ugcg/xylt1/LOC121906919/b4gat1/chst11/LOC121886375/ugt5d1/LOC121881064/LOC121894475/hs3st1l2/LOC121912899/zgc:101663/LOC121901833/LOC121906861/st6galnac5a/LOC121908505/LOC121904680/hs3st3b1b/hs6st1a/LOC121896625/extl2/alg5/stt3a/LOC121901427/fam3a/b4galt5/chst3a/chpfa/galnt12/LOC121897977"
"15","ko04030  G protein-coupled receptors",0.993287088834191,0.555430907609496,0.99999999999987,0.861244019138644,"ko04030","98/6104","287/17756",98,"drd2a/adgrl2a/fzd4/si:dkey-63b1.1/ednraa/LOC121899569/rxfp1/adgra3/LOC121898748/ramp2/f2rl1.2/LOC121898626/calcrla/adgra2/opn9/fzd2/oxtrb/LOC121898627/LOC121906023/LOC121897079/LOC121905675/LOC121898628/adra1d/fzd1/LOC121882015/LOC121885626/lpar2b/LOC121912272/lpar4/avpr1aa/LOC121886425/ackr4b/LOC121888104/LOC121912303/gpr174/LOC121899225/LOC121899328/LOC121910967/LOC121895711/ptger4b/gpr85/adra2b/adra1ab/LOC121885737/LOC121886469/LOC121900138/LOC121880518/chrm5b/p2ry1/pth1r/ednrba/p2ry10/LOC121909689/avpr2ba/LOC121891900/calcrl2/ltb4r2b/LOC121895397/ptger1a/adrb2a/gcgrb/LOC121908560/fzd3b/gpr146/agtr1b/fzd3a/ackr4a/LOC121909658/LOC121894572/LOC121905670/LOC121891695/tbxa2r/s1pr2/LOC121904168/ltb4r/fzd9b/LOC121895898/tmtopsb/adgrb3/gon4lb/LOC121913671/LOC121910252/qpctla/p2ry4/adgrl1a/LOC121896463/LOC121905983/LOC121891952/adgrb1a/lgr4/rgrb/opn5/LOC121882684/smo/LOC121889325/grm5a/LOC121892382/ctr9"
"16","ko01004  Lipid biosynthesis proteins",0.979237766502731,0.597203599832135,0.99999999999987,0.861244019138644,"ko01004","34/6104","101/17756",34,"mboat2a/LOC121902402/acot11b/LOC121901711/acss2l/acss3/zgc:153738/hsd17b12a/LOC121904377/acot7/acsl3a/gpat2/elovl8b/lpcat3/slc27a1a/elovl1a/mboat2b/LOC121894207/elovl6/elovl1b/dnal1/acss2/fasn/slc27a6/lpcat1/aasdh/LOC121886000/LOC121887815/gpam/LOC121886987/hacd1/ppt2b/agpat4/acsl3b"
"17","ko03051  Proteasome",0.969637396242901,0.620175592049421,0.99999999999987,0.861244019138644,"ko03051","28/6104","84/17756",28,"hsc70/psmb6/LOC121903639/psma6a/LOC121899173/psmd8/LOC121884750/hsp90aa1.1/psmd2/LOC121913823/psme2/psme4b/psmb8a/LOC121883473/LOC121884097/hspa1b/hspa8b/psmd10/psmg4/rad23ab/psmb1/psmb2/psme1/psmd1/psma3/psmd9/ubqln4/psma8"
"18","ko01006  Prenyltransferases",0.90903505897772,0.692723235196603,0.99999999999987,0.861244019138644,"ko01006","5/6104","16/17756",5,"fdps/pdss1/fdft1/dhdds/rabggta"
"19","ko02042  Bacterial toxins",0.727228047182176,0.83810408188762,0.99999999999987,0.861244019138644,"ko02042","3/6104","12/17756",3,"nbl1/LOC121896791/hyal1"
"20","ko00537  Glycosylphosphatidylinositol (GPI)-anchored proteins",0.867570301901543,0.870508095820348,0.99999999999987,0.861244019138644,"ko00537","34/6104","114/17756",34,"nbl1/alpl/LOC121900512/LOC121894696/gfra4b/gpc5a/cntn1b/LOC121897527/xpnpep2/gpc5c/LOC121896791/ncam1b/LOC121907457/LOC121883587/gfra3/enpp1/LOC121904831/LOC121897459/LOC121897782/l1cama/rtbdn/ache/cntn5/LOC121895767/nt5e/LOC121913635/hyal1/LOC121897063/LOC121913630/LOC121913021/ctsla/LOC121913486/LOC121892294/gpc1b"
"21","ko03012  Translation factors",0.827305301381558,0.922517033349864,0.99999999999987,0.861244019138644,"ko03012","31/6104","109/17756",31,"LOC121889464/eif4a1a/dph7/LOC121912691/eef1db/LOC121898492/eif4e2rs1/ighmbp2/LOC121894006/eef1da/cenpe/LOC121908547/slit1a/eif3k/eef1g/slit2/eif4a2/dph5/LOC121909631/abcf3/eif5b/gfm1/LOC121912993/eif2s1b/hemk1/eif3s10/eif4ba/LOC121911667/eif4g2b/eif3jb/tufm"
"22","ko04040  Ion channels",0.823064301461997,0.984832518549824,0.99999999999987,0.861244019138644,"ko04040","73/6104","258/17756",73,"LOC121891211/kcnk18/kcne4/LOC121906368/LOC121885652/wu:fb13g09/LOC121910801/chrne/ryr3/chrnb1/LOC121910887/ryr1b/cacnb1/clic2/cacna1c/LOC121905499/kcnk5a/clic4/LOC121907117/clic5a/LOC121911630/LOC121883889/LOC121895500/ano10b/scn3b/gria2b/LOC121901682/p2rx5/kcnk6/scn1laa/LOC121894610/clcn2a/LOC121896981/gabra6b/trpc1/ctso/mcoln2/trpm3/kcna4/LOC121885005/ano10a/kcnq3/grin3a/kcnc2/LOC121886621/scn4ab/kcnj1b/chrnb3a/p2rx1/LOC121910848/LOC121886498/LOC121910844/LOC121885014/LOC121884910/LOC121886427/trpm6/kcnj11/cnga3a/p2rx7/scn4aa/scn4bb/LOC121882106/LOC121890392/LOC121891944/kcnj11l/kcnab1b/clcn7/rpap1/tpcn1/ano8b/clic1/chrng/ano5b"
"23","ko03029  Mitochondrial biogenesis",0.84222401900831,0.994312021371738,0.99999999999987,0.861244019138644,"ko03029","130/6104","449/17756",130,"hsc70/acta2/LOC121887888/LOC121890155/fis1/atg4c/ccnl1a/ryr3/birc2/grpel1/pink1/samm50l/LOC121882331/ryr1b/vdac3/slc25a5/atg4b/actb1/nfs1/ulk2/crtc1a/si:ch211-11n16.2/noa1/afg1lb/rhot1a/LOC121912908/LOC121898843/pld7/LOC121880795/calcoco2/oxa1l/letm2/nedd4a/actb2/immt/zgc:112271/LOC121901837/LOC121911428/mffa/tfam/LOC121889226/hsp90aa1.1/map1lc3c/vdac2/dhtkd1/LOC121888193/wipi2/wipi1/chchd3a/LOC121899980/nedd4l/lrrfip1a/smurf1/prkaa2/lrpprc/slc25a4/LOC121881346/atg16l1/gabpb2a/dnm1l/pop1/tfb2m/LOC121897643/LOC121897644/nbr1a/sh3glb1a/acaa2/LOC121892156/tamm41/myo5aa/map1lc3b/LOC121886398/lonp1/tmem126a/polg/supv3l1/hspa1b/sqstm1/zgc:56235/hspa8b/LOC121894829/mtg1/naa25/LOC121901806/ptcd3/LOC121901076/snx25/mfn1a/agfg1b/dnaja2a/atp23/gfm1/nbr1b/foxred1/LOC121912993/dnajc15/bnip3la/cmc2/isca2/isca1/tax1bp1a/pde12/rpp40/pld3/mtch2/LOC121908153/tax1bp1b/yy1b/LOC121903410/plpp6/dars2/crebbpa/LOC121883588/LOC121900376/atpaf1/timm8b/timm44/dnaja3a/mtfp1/iscu/eif4g2b/clec16a/sirt1/vdac1/atg3/LOC121885842/timm21/tufm/acta1b/COX2"
"24","ko03009  Ribosome biogenesis",0.719294650303825,0.999806082750919,0.99999999999987,0.861244019138644,"ko03009","68/6104","275/17756",68,"hsc70/bmt2/abce1/dhx15/LOC121911690/rcl1/senp3b/ighmbp2/noa1/ipo9/nop10/tmed5/LOC121889226/ddx24/atp8a2/gtpbp4/pa2g4a/styx/xpo1b/bud23/grwd1/pelp1/atp8b1/slit1a/kcnq3/LOC121897932/slit2/brd2b/pop1/pes/msl1b/nat10/noc4l/hspa1b/hspa8b/mtg1/sbds/nol6/ipo7/LOC121891944/urb2/dusp7/sox7/utp20/tmed1b/xrn1/faf2/nop14/ddx56/rpp40/LOC121907208/ddx21/LOC121901979/shq1/noc3l/LOC121893825/wdr75/atp11a/ddx54/LOC121907187/brd4/LOC121884022/kpnb1/mtrex/pdcd11/ncl/lsg1/eif3jb"
"25","ko03016  Transfer RNA biogenesis",0.642853522370984,0.999892463876835,0.99999999999987,0.861244019138644,"ko03016","40/6104","181/17756",40,"LOC121887888/LOC121912691/nfs1/rpp21/LOC121889226/xpo1b/rnaset2/trmu/vps13c/pts/rtraf/LOC121912153/tyw1/pop1/pus10/nars2/pxk/trmt44/fars2/mars2/trmt13/aars2/trmt9b/im:7138535/osgepl1/elac2/scyl1/xrn1/tars1/rpp40/LOC121911989/tars2/b3gntl1/pus7l/tsen15/dars2/qtrt1/cars2/farsb/mtrex"
"26","ko03400  DNA repair and recombination proteins",0.65989211688753,0.999999967899184,0.99999999999987,0.861244019138644,"ko03400","98/6104","432/17756",98,"LOC121914036/msh6/mrps23/tp53/her9/rnf169/LOC121903639/nav3/trim69/dclre1c/per3/LOC121910342/hmgb2b/her6/nav2a/ankle1/parp1/pold4/LOC121882289/LOC121910633/LOC121910098/irx5a/rpa3/pold2/ercc3/ywhag1/LOC121905826/lig1/rfc1/alkbh3/LOC121895267/nek1/pold1/LOC121880723/pole/LOC121882918/LOC121892094/atr/hmgb1b/ywhag2/plk3/wee2/fen1/pcna/fanci/polr2b/fancc/LOC121881000/rad17/LOC121882664/LOC121895172/tada2a/nudt18/tp73/cul4b/LOC121912617/LOC121903453/uimc1/zgc:110269/ogg1/topbp1/eloa/cry-dash/prpf19/rpa2/timeless/rbp3/wee1/LOC121913298/plrg1/neil3/nhej1/LOC121896788/parp2/LOC121885910/LOC121906483/cdc5l/LOC121882369/LOC121908543/pms2/blm/pole2/mlh1/n4bp2l2/LOC121897170/tp63/rad23ab/usp1/cry2/pgd/aplf/nbn/rad54l2/LOC121911486/dclre1b/rpa1/rad50/ascc3"
"27","ko03011  Ribosome",0.420003364147994,0.999999999828407,0.99999999999987,0.861244019138644,"ko03011","27/6104","187/17756",27,"LOC121884171/tpd52/rps4x/rplp0/mrps23/igf2bp3/cand2/pex6/LOC121889849/rpl34/pebp1/dnajc1/etfa/LOC121899952/igf2bp1/rps3a/rpl7/eloa/mrpl52/mrpl44/rps27.2/rps7/mrpl28/rps15/rpl18/rpl11/faua"
"28","ko03041  Spliceosome",0.583122950275109,0.999999999989582,0.99999999999987,0.861244019138644,"ko03041","87/6104","434/17756",87,"hsc70/LOC121912691/sf3b2/LOC121888854/b3gat3/slc30a7/dhx15/LOC121911690/rbm14b/igf2bp3/LOC121898608/aqr/cbx1a/snrpa/LOC121882041/serbp1b/qkia/LOC121906115/cbx3b/tet2/LOC121889523/prpf3/tcerg1b/igf2bp1/LOC121884827/LOC121885442/LOC121889134/cbx3a/ints7/LOC121906921/ptbp1a/mbnl2/msl1b/LOC121885413/LOC121907153/prpf38a/dhx38/celf3a/hspa1b/dpf3/LOC121889136/LOC121889408/tet3/hspa8b/xab2/aar2/dhx16/LOC121892095/hnrnpl/fkbp4/prpf19/LOC121903323/plrg1/matr3l1.2/srsf10a/e2f4/LOC121903507/cdc5l/LOC121883194/ptbp1b/dqx1/acin1b/LOC121901979/lsm7/pspc1/khdrbs1b/wdr77/LOC121882496/gemin5/taf3/LOC121908128/eftud2/LOC121900668/taf15/ints11/tial1/ints6l/LOC121913273/rbm4.3/gemin4/bud13/ints6/magoh/mtrex/tet1/LOC121898580/nktr"
"29","ko03021  Transcription machinery",0.527560900726616,0.99999999999987,0.99999999999987,0.861244019138644,"ko03021","72/6104","397/17756",72,"acta2/plod3/plod2/LOC121908675/LOC121888854/LOC121881309/nelfa/drap1/actb1/trim69/ctdsp2/LOC121891993/LOC121897884/LOC121885949/med11/LOC121880795/med29/actb2/larp7/taf6l/tcea3/pin1/LOC121882041/rrn3/irx5a/eaf2/ercc3/LOC121882043/LOC121880723/brd2b/polr1b/paf1/polr2b/cdk19/LOC121881000/LOC121882664/tada2a/taf2/btaf1/nelfb/fkbp4/cavin1b/dr1/baz2a/LOC121913298/cdk9/taf5/ctdp1/LOC121896788/supt5h/alg5/ccdc150/LOC121882369/LOC121894182/rpap1/arid1ab/chd2/polr3a/LOC121903410/pspc1/taf3/supt6h/taf15/LOC121907187/brd4/smarca2/ctr9/med16/LOC121885998/rprd1b/yipf3/acta1b"
