"","Term","Ontology","ratio","pvalue","p.adjust","qvalue","ID","GeneRatio","BgRatio","Count","geneID"
"30","regulation of pathway-restricted SMAD protein phosphorylation","Biological Process",11.6792626728111,0.00216228737005966,0.16937917732134,0.150829027778197,"GO:0060393","3/62","70/16896",3,"bmp7b/gdf10a/LOC121882333"
"31","regulation of ossification","Biological Process",5.32258064516129,0.00245934314564395,0.177341316053706,0.157919165202583,"GO:0030278","5/62","256/16896",5,"bmp7b/prkacab/gdf10a/LOC121882333/bmpr1bb"
"32","cellular response to carbohydrate stimulus","Biological Process",7.03267429760666,0.00251470409964331,0.177341316053706,0.157919165202583,"GO:0071322","4/62","155/16896",4,"colec12/LOC121899291/prkacab/calcrla"
"33","positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","Biological Process",6.77058705670206,0.00288411174772068,0.177341316053706,0.157919165202583,"GO:0090100","4/62","161/16896",4,"bmp7b/gdf10a/LOC121882333/hipk2"
"34","cerebellar granular layer development","Biological Process",24.7741935483871,0.0029191139599963,0.177341316053706,0.157919165202583,"GO:0021681","2/62","22/16896",2,"LOC121911895/serpine2"
"35","virion binding","Molecular Function",24.7741935483871,0.0029191139599963,0.177341316053706,0.157919165202583,"GO:0046790","2/62","22/16896",2,"ptx3a/hipk2"
"36","negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","Biological Process",6.68751236888977,0.00301507959023787,0.177341316053706,0.157919165202583,"GO:0090101","4/62","163/16896",4,"nbl1/LOC121882333/hipk2/nog2"
"37","nematode male tail tip morphogenesis","Biological Process",10.3487137607187,0.00305150878836045,0.177341316053706,0.157919165202583,"GO:0045138","3/62","79/16896",3,"gdf10a/LOC121889464/ntn2"
"38","negative regulation of wound healing","Biological Process",10.3487137607187,0.00305150878836045,0.177341316053706,0.157919165202583,"GO:0061045","3/62","79/16896",3,"plat/pdgfra/serpine2"
"39","retina development in camera-type eye","Biological Process",5.04659498207885,0.00309296298367333,0.177341316053706,0.157919165202583,"GO:0060041","5/62","270/16896",5,"dio3a/pdgfra/bmpr1bb/hipk2/nr2e3"
"40","ovulation cycle process","Biological Process",10.2193548387097,0.00316217806802145,0.177341316053706,0.157919165202583,"GO:0022602","3/62","80/16896",3,"pdgfra/LOC121882333/bmpr1bb"
"41","regulation of bone mineralization","Biological Process",10.2193548387097,0.00316217806802145,0.177341316053706,0.157919165202583,"GO:0030500","3/62","80/16896",3,"bmp7b/LOC121882333/bmpr1bb"
"42","negative regulation of BMP signaling pathway","Biological Process",9.97010228166798,0.00339085207386997,0.177341316053706,0.157919165202583,"GO:0030514","3/62","82/16896",3,"nbl1/hipk2/nog2"
"43","transmembrane receptor protein serine/threonine kinase signaling pathway","Biological Process",4.93688639551192,0.00339776009038562,0.177341316053706,0.157919165202583,"GO:0007178","5/62","276/16896",5,"bmp7b/gdf10a/LOC121882333/bmpr1bb/hipk2"
"44","regulation of osteoblast differentiation","Biological Process",6.45008589425463,0.00343232211629211,0.177341316053706,0.157919165202583,"GO:0045667","4/62","169/16896",4,"bmp7b/prkacab/gdf10a/bmpr1bb"
"45","negative regulation of vascular associated smooth muscle cell proliferation","Biological Process",22.7096774193548,0.00347136193126403,0.177341316053706,0.157919165202583,"GO:1904706","2/62","24/16896",2,"pparg/LOC121882333"
"46","adaptive thermogenesis","Biological Process",22.7096774193548,0.00347136193126403,0.177341316053706,0.157919165202583,"GO:1990845","2/62","24/16896",2,"atp2a1l/pparg"
"47","negative regulation of platelet activation","Biological Process",21.8012903225806,0.00376433562477758,0.184295598296402,0.164111825045128,"GO:0010544","2/62","25/16896",2,"pdgfra/serpine2"
"48","glomerulus vasculature development","Biological Process",21.8012903225806,0.00376433562477758,0.184295598296402,0.164111825045128,"GO:0072012","2/62","25/16896",2,"pdgfra/acta2"
"49","renal system vasculature development","Biological Process",20.1863799283154,0.00438356580847502,0.206027592998326,0.183463764784175,"GO:0061437","2/62","27/16896",2,"pdgfra/acta2"
"50","kidney vasculature development","Biological Process",20.1863799283154,0.00438356580847502,0.206027592998326,0.183463764784175,"GO:0061440","2/62","27/16896",2,"pdgfra/acta2"
"51","regulation of biomineral tissue development","Biological Process",8.98404820985466,0.00454418283957842,0.20882441327071,0.185954281559763,"GO:0070167","3/62","91/16896",3,"bmp7b/LOC121882333/bmpr1bb"
"52","endocardial cushion formation","Biological Process",19.4654377880184,0.00470965698014793,0.20882441327071,0.185954281559763,"GO:0003272","2/62","28/16896",2,"bmp7b/LOC121882333"
"53","response to odorant","Biological Process",19.4654377880184,0.00470965698014793,0.20882441327071,0.185954281559763,"GO:1990834","2/62","28/16896",2,"ctsh/drd2a"
"54","acrosomal vesicle","Cellular Component",8.69732326698696,0.00497512528662814,0.215043173584694,0.19149197271506,"GO:0001669","3/62","94/16896",3,"ctsh/drd2a/prkacab"
"55","positive regulation of osteoblast differentiation","Biological Process",8.60577249575552,0.00512406489330028,0.215043173584694,0.19149197271506,"GO:0045669","3/62","95/16896",3,"bmp7b/gdf10a/bmpr1bb"
"56","rhythmic process","Biological Process",3.75884315906563,0.00512443307265654,0.215043173584694,0.19149197271506,"GO:0048511","6/62","435/16896",6,"pdgfra/drd2a/prkacab/LOC121882333/bmpr1bb/nr2e3"
"57","SMAD binding","Molecular Function",8.42833388759561,0.00542996350088826,0.220168002873452,0.196055538505004,"GO:0046332","3/62","97/16896",3,"bmpr1bb/zeb2a/hipk2"
"58","blood coagulation","Biological Process",4.39542143600416,0.00554738148809184,0.220168002873452,0.196055538505004,"GO:0007596","5/62","310/16896",5,"fbln1/plat/pdgfra/prkacab/serpine2"
"59","embryonic skeletal system development","Biological Process",5.59007444168734,0.00569653799370573,0.220168002873452,0.196055538505004,"GO:0048706","4/62","195/16896",4,"bmp7b/pdgfra/LOC121895699/LOC121882333"
"60","cytokine activity","Molecular Function",8.17548387096774,0.00590905455688304,0.220168002873452,0.196055538505004,"GO:0005125","3/62","100/16896",3,"bmp7b/gdf10a/LOC121882333"
"61","mesenchyme development","Biological Process",4.31196406696611,0.00600808348894995,0.220168002873452,0.196055538505004,"GO:0060485","5/62","316/16896",5,"bmp7b/pdgfra/acta2/LOC121882333/zeb2a"
"62","plasma lipoprotein particle assembly","Biological Process",17.0322580645161,0.00612195396789072,0.220168002873452,0.196055538505004,"GO:0034377","2/62","32/16896",2,"prkacab/soat1"
"63","fatty acid derivative binding","Molecular Function",17.0322580645161,0.00612195396789072,0.220168002873452,0.196055538505004,"GO:1901567","2/62","32/16896",2,"pparg/soat1"
"64","regulation of response to wounding","Biological Process",4.25806451612903,0.00632984962207438,0.220168002873452,0.196055538505004,"GO:1903034","5/62","320/16896",5,"plat/pdgfra/acta2/tec/serpine2"
"65","salivary gland morphogenesis","Biological Process",5.42320654790563,0.00633281220663982,0.220168002873452,0.196055538505004,"GO:0007435","4/62","201/16896",4,"bmp7b/LOC121895699/LOC121882333/tec"
"66","regeneration","Biological Process",4.24479951763642,0.00641215306796261,0.220168002873452,0.196055538505004,"GO:0031099","5/62","321/16896",5,"prkacab/LOC121895699/pparg/tec/nr2e3"
"67","coagulation","Biological Process",4.23161691043879,0.00649520843724903,0.220168002873452,0.196055538505004,"GO:0050817","5/62","322/16896",5,"fbln1/plat/pdgfra/prkacab/serpine2"
"68","metanephros development","Biological Process",7.86104218362283,0.00658614940310954,0.220168002873452,0.196055538505004,"GO:0001656","3/62","104/16896",3,"bmp7b/pdgfra/ctsh"
"69","regulation of viral entry into host cell","Biological Process",16.0303605313093,0.00689173060355494,0.220168002873452,0.196055538505004,"GO:0046596","2/62","34/16896",2,"ptx3a/si:ch73-22o12.1"
"70","hemostasis","Biological Process",4.15420928402832,0.0070095303657325,0.220168002873452,0.196055538505004,"GO:0007599","5/62","328/16896",5,"fbln1/plat/pdgfra/prkacab/serpine2"
"71","skeletal system morphogenesis","Biological Process",4.15420928402832,0.0070095303657325,0.220168002873452,0.196055538505004,"GO:0048705","5/62","328/16896",5,"bmp7b/pdgfra/alpl/LOC121882333/bmpr1bb"
"72","striated muscle tissue development","Biological Process",3.50879136093036,0.00711253550578593,0.220168002873452,0.196055538505004,"GO:0014706","6/62","466/16896",6,"bmp7b/LOC121899291/pdgfra/acta2/lamb1b/LOC121895699"
"73","sperm flagellum","Cellular Component",7.64063913174555,0.00712310863777827,0.220168002873452,0.196055538505004,"GO:0036126","3/62","107/16896",3,"ctsh/drd2a/prkacab"
"74","superoxide metabolic process","Biological Process",15.5723502304147,0.0072922461634307,0.220168002873452,0.196055538505004,"GO:0006801","2/62","35/16896",2,"LOC121899291/prex1"
"75","brown fat cell differentiation","Biological Process",15.5723502304147,0.0072922461634307,0.220168002873452,0.196055538505004,"GO:0050873","2/62","35/16896",2,"arl4ab/pparg"
"76","cellular response to thyroid hormone stimulus","Biological Process",15.5723502304147,0.0072922461634307,0.220168002873452,0.196055538505004,"GO:0097067","2/62","35/16896",2,"ctsh/LOC121889464"
"77","postsynapse of neuromuscular junction","Cellular Component",15.5723502304147,0.0072922461634307,0.220168002873452,0.196055538505004,"GO:0098975","2/62","35/16896",2,"nanos1/magi1b"
"78","regulation of muscle cell apoptotic process","Biological Process",7.56989247311828,0.00730770392516138,0.220168002873452,0.196055538505004,"GO:0010660","3/62","108/16896",3,"bmp7b/LOC121889464/pparg"
"79","regulation of calcium ion transmembrane transporter activity","Biological Process",7.50044391831903,0.00749512115757596,0.220179355110967,0.196065647462756,"GO:1901019","3/62","109/16896",3,"drd2a/prkacab/atp2a1l"
"80","negative regulation of cellular response to growth factor stimulus","Biological Process",5.16618254089589,0.00749546740803292,0.220179355110967,0.196065647462756,"GO:0090288","4/62","211/16896",4,"nbl1/LOC121882333/hipk2/nog2"
"81","regulation of synaptic transmission, glutamatergic","Biological Process",7.23494147873252,0.00827320956765114,0.236530411658817,0.21062596119943,"GO:0051966","3/62","113/16896",3,"drd2a/prkacab/serpine2"
"82","9+2 motile cilium","Cellular Component",7.23494147873252,0.00827320956765114,0.236530411658817,0.21062596119943,"GO:0097729","3/62","113/16896",3,"ctsh/drd2a/prkacab"
"83","pole cell migration","Biological Process",14.3429541595925,0.00855535531531891,0.236530411658817,0.21062596119943,"GO:0007280","2/62","38/16896",2,"nanos1/zeb2a"
"84","negative regulation of muscle contraction","Biological Process",14.3429541595925,0.00855535531531891,0.236530411658817,0.21062596119943,"GO:0045932","2/62","38/16896",2,"atp2a1l/calcrla"
"85","negative regulation of embryonic development","Biological Process",14.3429541595925,0.00855535531531891,0.236530411658817,0.21062596119943,"GO:0045992","2/62","38/16896",2,"bmp7b/prkacab"
"86","muscle tissue development","Biological Process",3.33693219223173,0.00899863916723596,0.241486048153133,0.215038863932106,"GO:0060537","6/62","490/16896",6,"bmp7b/LOC121899291/pdgfra/acta2/lamb1b/LOC121895699"
"87","regulation of ERK1 and ERK2 cascade","Biological Process",3.90424253627877,0.00903479450989067,0.241486048153133,0.215038863932106,"GO:0070372","5/62","349/16896",5,"fbln1/LOC121899291/pdgfra/acta2/drd2a"
"88","positive regulation of developmental growth","Biological Process",3.28993314727072,0.00961074524612924,0.241486048153133,0.215038863932106,"GO:0048639","6/62","497/16896",6,"bmp7b/dio3a/drd2a/zeb2a/hipk2/nr2e3"
"89","hormone metabolic process","Biological Process",4.80204632655961,0.00963495370472243,0.241486048153133,0.215038863932106,"GO:0042445","4/62","227/16896",4,"dio3a/pdgfra/retsat.2/bmpr1bb"
"90","male sex differentiation","Biological Process",3.82747372236318,0.00979152204487934,0.241486048153133,0.215038863932106,"GO:0046661","5/62","356/16896",5,"pdgfra/prkacab/gdf10a/LOC121889464/ntn2"
"91","endocardial cushion morphogenesis","Biological Process",13.2934697088906,0.00990917171915922,0.241486048153133,0.215038863932106,"GO:0003203","2/62","41/16896",2,"bmp7b/LOC121882333"
"92",NA,NA,13.2934697088906,0.00990917171915922,0.241486048153133,0.215038863932106,"GO:0005605","2/62","41/16896",2,"fbln1/lamb1b"
"93","estrogen metabolic process","Biological Process",13.2934697088906,0.00990917171915922,0.241486048153133,0.215038863932106,"GO:0008210","2/62","41/16896",2,"pdgfra/bmpr1bb"
"94","positive regulation of muscle cell apoptotic process","Biological Process",13.2934697088906,0.00990917171915922,0.241486048153133,0.215038863932106,"GO:0010661","2/62","41/16896",2,"LOC121889464/pparg"
"95","protein-lipid complex assembly","Biological Process",13.2934697088906,0.00990917171915922,0.241486048153133,0.215038863932106,"GO:0065005","2/62","41/16896",2,"prkacab/soat1"
"96","mesenchymal cell differentiation","Biological Process",4.76010705733202,0.00992752468111692,0.241486048153133,0.215038863932106,"GO:0048762","4/62","229/16896",4,"bmp7b/pdgfra/LOC121882333/zeb2a"
"97","negative regulation of response to wounding","Biological Process",6.75659824046921,0.00996772198759739,0.241486048153133,0.215038863932106,"GO:1903035","3/62","121/16896",3,"plat/pdgfra/serpine2"
"98","bone development","Biological Process",4.71889400921659,0.0102258275395429,0.244883258768991,0.218064017215119,"GO:0060348","4/62","231/16896",4,"LOC121897897/alpl/LOC121882333/bmpr1bb"
"99","regulation of fibroblast proliferation","Biological Process",6.64673485444532,0.0104205642029358,0.244883258768991,0.218064017215119,"GO:0048145","3/62","123/16896",3,"fbln1/pdgfra/pparg"
"100","response to axon injury","Biological Process",6.64673485444532,0.0104205642029358,0.244883258768991,0.218064017215119,"GO:0048678","3/62","123/16896",3,"drd2a/prkacab/nr2e3"
"101","ovulation cycle","Biological Process",6.54038709677419,0.0108852140435511,0.253269831706388,0.225532105456797,"GO:0042698","3/62","125/16896",3,"pdgfra/LOC121882333/bmpr1bb"
"102","neuromuscular junction","Cellular Component",4.59942833809718,0.0111555456142416,0.257015021504585,0.228867127772056,"GO:0031594","4/62","237/16896",4,"prkacab/nanos1/magi1b/serpine2"
"103","bone morphogenesis","Biological Process",6.38709677419355,0.011604448436566,0.26476168763039,0.235765390821597,"GO:0060349","3/62","128/16896",3,"alpl/LOC121882333/bmpr1bb"
"104","primary neural tube formation","Biological Process",6.28883374689826,0.0120988529251327,0.273387542058286,0.243446554809349,"GO:0014020","3/62","130/16896",3,"bmp7b/prkacab/zeb2a"
"105","male anatomical structure morphogenesis","Biological Process",6.24082738241812,0.0123505478160701,0.274051700640349,0.244037975754989,"GO:0090598","3/62","131/16896",3,"gdf10a/LOC121889464/ntn2"
"106","cerebellar cortex morphogenesis","Biological Process",11.8485273492286,0.012361480965054,0.274051700640349,0.244037975754989,"GO:0021696","2/62","46/16896",2,"LOC121911895/serpine2"
"107","regulation of circadian rhythm","Biological Process",4.41321666449001,0.0128235194234599,0.281638043412437,0.250793473820347,"GO:0042752","4/62","247/16896",4,"drd2a/prkacab/pparg/nr2e3"
"108","face morphogenesis","Biological Process",11.3548387096774,0.0134092286319319,0.286231419253388,0.254883790134708,"GO:0060325","2/62","48/16896",2,"pdgfra/LOC121882333"
"109","plasma lipoprotein particle organization","Biological Process",11.3548387096774,0.0134092286319319,0.286231419253388,0.254883790134708,"GO:0071827","2/62","48/16896",2,"prkacab/soat1"
"110","neural tube development","Biological Process",4.30855539971949,0.0138970521944378,0.286231419253388,0.254883790134708,"GO:0021915","4/62","253/16896",4,"bmp7b/prkacab/LOC121895699/zeb2a"
"111","positive regulation of ERK1 and ERK2 cascade","Biological Process",4.30855539971949,0.0138970521944378,0.286231419253388,0.254883790134708,"GO:0070374","4/62","253/16896",4,"LOC121899291/pdgfra/acta2/drd2a"
"112","cellular hormone metabolic process","Biological Process",5.96750647515894,0.0139239608226444,0.286231419253388,0.254883790134708,"GO:0034754","3/62","137/16896",3,"pdgfra/retsat.2/bmpr1bb"
"113","response to estrogen","Biological Process",5.96750647515894,0.0139239608226444,0.286231419253388,0.254883790134708,"GO:0043627","3/62","137/16896",3,"pdgfra/pparg/LOC121882333"
"114","salivary gland development","Biological Process",4.29159258318517,0.0140813689710258,0.286231419253388,0.254883790134708,"GO:0007431","4/62","254/16896",4,"bmp7b/LOC121895699/LOC121882333/tec"
"115","lung development","Biological Process",4.25806451612903,0.0144546655994554,0.286231419253388,0.254883790134708,"GO:0030324","4/62","256/16896",4,"pdgfra/loxa/ctsh/LOC121882333"
"116","positive regulation of glial cell differentiation","Biological Process",10.9006451612903,0.0144942718685758,0.286231419253388,0.254883790134708,"GO:0045687","2/62","50/16896",2,"pparg/serpine2"
"117","nonassociative learning","Biological Process",10.9006451612903,0.0144942718685758,0.286231419253388,0.254883790134708,"GO:0046958","2/62","50/16896",2,"magi1b/tec"
"118","alpha-actinin binding","Molecular Function",10.9006451612903,0.0144942718685758,0.286231419253388,0.254883790134708,"GO:0051393","2/62","50/16896",2,"pparg/magi1b"
"119","regulation of glycoprotein metabolic process","Biological Process",10.9006451612903,0.0144942718685758,0.286231419253388,0.254883790134708,"GO:1903018","2/62","50/16896",2,"ptx3a/soat1"
"120","fat cell differentiation","Biological Process",5.75738300772376,0.0153184930631371,0.292755893860282,0.260693714219145,"GO:0045444","3/62","142/16896",3,"arl4ab/gdf10a/pparg"
"121","respiratory tube development","Biological Process",4.17649239896181,0.0154153042932389,0.292755893860282,0.260693714219145,"GO:0030323","4/62","261/16896",4,"pdgfra/loxa/ctsh/LOC121882333"
"122","platelet-derived growth factor receptor signaling pathway","Biological Process",10.4813895781638,0.015616026429919,0.292755893860282,0.260693714219145,"GO:0048008","2/62","52/16896",2,"plat/pdgfra"
"123","basement membrane","Cellular Component",5.67741935483871,0.0158976525886147,0.292755893860282,0.260693714219145,"GO:0005604","3/62","144/16896",3,"fbln1/lamb1b/ntn2"
"124","regulation of collagen biosynthetic process","Biological Process",10.2836275106512,0.0161904896096079,0.292755893860282,0.260693714219145,"GO:0032965","2/62","53/16896",2,"pparg/LOC121882333"
"125","cardiac muscle cell differentiation","Biological Process",5.63826473859844,0.0161918212521807,0.292755893860282,0.260693714219145,"GO:0055007","3/62","145/16896",3,"LOC121899291/pdgfra/lamb1b"
"126","sulfur compound binding","Molecular Function",4.1134510042605,0.0162122638108,0.292755893860282,0.260693714219145,"GO:1901681","4/62","265/16896",4,"bmp7b/col23a1a/soat1/serpine2"
"127","positive regulation of reactive oxygen species metabolic process","Biological Process",5.59964648696421,0.0164890535573496,0.292755893860282,0.260693714219145,"GO:2000379","3/62","146/16896",3,"ptx3a/LOC121899291/LOC121889464"
"128","bone remodeling","Biological Process",10.0931899641577,0.0167739143876144,0.292755893860282,0.260693714219145,"GO:0046849","2/62","54/16896",2,"LOC121899291/LOC121882333"
"129","receptor metabolic process","Biological Process",5.52397558849172,0.0170927212349758,0.292755893860282,0.260693714219145,"GO:0043112","3/62","148/16896",3,"drd2a/pparg/calcrla"
"130","positive regulation of epithelial to mesenchymal transition","Biological Process",9.90967741935484,0.0173662295002408,0.292755893860282,0.260693714219145,"GO:0010718","2/62","55/16896",2,"bmp7b/LOC121882333"
"131","neural tube formation","Biological Process",5.45032258064516,0.0177086782950786,0.292755893860282,0.260693714219145,"GO:0001841","3/62","150/16896",3,"bmp7b/prkacab/zeb2a"
"132","zymogen activation","Biological Process",9.73271889400922,0.0179673640712658,0.292755893860282,0.260693714219145,"GO:0031638","2/62","56/16896",2,"plat/ctsh"
"133","cardiac muscle tissue development","Biological Process",3.97833765010596,0.0180992353974919,0.292755893860282,0.260693714219145,"GO:0048738","4/62","274/16896",4,"bmp7b/LOC121899291/pdgfra/lamb1b"
"134","response to food","Biological Process",9.56196943972835,0.0185772476101352,0.292755893860282,0.260693714219145,"GO:0032094","2/62","57/16896",2,"drd2a/pparg"
"135","protein-lipid complex subunit organization","Biological Process",9.56196943972835,0.0185772476101352,0.292755893860282,0.260693714219145,"GO:0071825","2/62","57/16896",2,"prkacab/soat1"
"136","response to vitamin","Biological Process",5.30875576036866,0.0189775385711983,0.292755893860282,0.260693714219145,"GO:0033273","3/62","154/16896",3,"alpl/LOC121904145/pparg"
"137","regulation of sequestering of calcium ion","Biological Process",5.30875576036866,0.0189775385711983,0.292755893860282,0.260693714219145,"GO:0051282","3/62","154/16896",3,"drd2a/prkacab/atp2a1l"
"138","response to hyperoxia","Biological Process",9.39710789766407,0.0191958100101602,0.292755893860282,0.260693714219145,"GO:0055093","2/62","58/16896",2,"pdgfra/pparg"
"139","regulation of reactive oxygen species metabolic process","Biological Process",3.89308755760369,0.0194304079365112,0.292755893860282,0.260693714219145,"GO:2000377","4/62","280/16896",4,"bmp7b/ptx3a/LOC121899291/LOC121889464"
"140","endocardial cushion development","Biological Process",9.23783488244942,0.0198229815467243,0.292755893860282,0.260693714219145,"GO:0003197","2/62","59/16896",2,"bmp7b/LOC121882333"
"141","secretory granule organization","Biological Process",9.23783488244942,0.0198229815467243,0.292755893860282,0.260693714219145,"GO:0033363","2/62","59/16896",2,"si:ch73-22o12.1/serpine2"
"142","embryonic camera-type eye morphogenesis","Biological Process",9.23783488244942,0.0198229815467243,0.292755893860282,0.260693714219145,"GO:0048596","2/62","59/16896",2,"bmp7b/hipk2"
"143","embryonic skeletal system morphogenesis","Biological Process",5.17435688035933,0.0202957656604635,0.292755893860282,0.260693714219145,"GO:0048704","3/62","158/16896",3,"bmp7b/pdgfra/LOC121882333"
"144","embryo implantation","Biological Process",9.08387096774194,0.0204586928754965,0.292755893860282,0.260693714219145,"GO:0007566","2/62","60/16896",2,"lamb1b/serpine2"
"145","cerebellum morphogenesis","Biological Process",9.08387096774194,0.0204586928754965,0.292755893860282,0.260693714219145,"GO:0021587","2/62","60/16896",2,"LOC121911895/serpine2"
"146","dorsal/ventral axon guidance","Biological Process",9.08387096774194,0.0204586928754965,0.292755893860282,0.260693714219145,"GO:0033563","2/62","60/16896",2,"gdf10a/ntn2"
"147","regulation of cellular response to growth factor stimulus","Biological Process",3.16879219804951,0.0206094222699447,0.292755893860282,0.260693714219145,"GO:0090287","5/62","430/16896",5,"tmem204/nbl1/LOC121882333/hipk2/nog2"
