"","Term","Ontology","ratio","pvalue","p.adjust","qvalue","ID","GeneRatio","BgRatio","Count","geneID"
"11","muscle cell development","Biological Process",1.73030374827318,1.38177369693302e-11,1.10516772596516e-08,9.72133992330296e-09,"GO:0055001","127/3106","337/14261",127,"myom2a/myl2a/tnnt2e/myom2b/pdlim5a/pdgfra/LOC121908042/dtna/lamb1b/itgb2/capn3b/mypn/LOC121892103/actn1/nfatc2a/casq2/LOC121894507/myh7l/unc45b/lmod1b/lamb1a/snta1/ramp2/mybpha/capzb/obscna/csrp1b/cavin4b/nexn/cav1/itga8/LOC121910427/LOC121896926/acta2/LOC121894558/casq1b/LOC121895500/tead1b/itgav/itgb1a/LOC121888075/LOC121908040/LOC121912251/LOC121890607/chrnb1/itga5/popdc2/myoz1a/map2k4a/daam2/spegb/myom3/tmod4/LOC121907117/LOC121895103/ripor2/LOC121880985/LOC121881849/bves/LOC121897830/tmod2/csrp1a/actb1/kif5ab/LOC121892319/adma/LOC121880591/ache/unc45a/alpk3a/LOC121908635/csrp2/LOC121896089/LOC121894730/LOC121895127/hsp90aa1.1/cavin4a/myom1b/sgcg/acta1b/mybpc3/adra1ab/tnnt2a/maml1/nfatc3a/ryr1b/her6/tead1a/LOC121883377/LOC121897829/b4gat1/LOC121894579/LOC121889157/katnal1/LOC121906032/LOC121900514/itgb3b/myoz2b/cspg4/igf1/myod1/nfatc4/katna1/LOC121887522/dmd/LOC121905206/meox1/LOC121883403/LOC121908041/rbfox1l/LOC121913056/ankhd1/myl9b/myog/actn2b/LOC121903708/LOC121903818/LOC121903410/gpx1b/mef2aa/notch1a/wdr1/klhl40b/LOC121895662/LOC121896866/LOC121892381/tnnt3a"
"12","myosin filament","Cellular Component",3.58705932066967,1.72568920154785e-11,1.2652177996015e-08,1.11291815875261e-08,"GO:0032982","25/3106","32/14261",25,"LOC121883517/LOC121893746/LOC121893745/LOC121883514/LOC121883529/LOC121908042/LOC121883527/LOC121883513/LOC121883509/LOC121894285/LOC121884030/LOC121883515/LOC121883532/LOC121883511/myh7l/LOC121883528/obscna/LOC121908040/LOC121883530/mybpc3/LOC121883377/LOC121906032/LOC121884700/LOC121883510/LOC121908041"
"13","skeletal muscle contraction","Biological Process",2.81410589286085,1.995650742239e-11,1.35059501770913e-08,1.18801815845677e-08,"GO:0003009","38/3106","62/14261",38,"LOC121883517/LOC121893746/LOC121893745/LOC121883514/LOC121883529/LOC121908042/LOC121883527/LOC121883513/LOC121883509/LOC121894285/LOC121884030/LOC121883515/LOC121883532/LOC121883511/chrng/LOC121894507/myh7l/LOC121883528/LOC121908040/LOC121912251/chrnb1/tnnc1a/LOC121908547/atp8a2/LOC121907117/chrne/LOC121883530/LOC121896089/synm/dub/LOC121884700/LOC121883510/ikbkb/gaa/LOC121895055/LOC121908041/chrnd/tnnt3a"
"14","striated muscle cell development","Biological Process",1.73095667665798,7.14883095133421e-11,4.37165004823141e-08,3.84541596231169e-08,"GO:0055002","118/3106","313/14261",118,"myom2a/myl2a/tnnt2e/myom2b/pdlim5a/pdgfra/LOC121908042/dtna/lamb1b/itgb2/capn3b/mypn/LOC121892103/actn1/nfatc2a/casq2/LOC121894507/myh7l/unc45b/lmod1b/lamb1a/snta1/mybpha/capzb/obscna/csrp1b/cavin4b/nexn/cav1/itga8/LOC121910427/LOC121896926/acta2/LOC121894558/casq1b/LOC121895500/tead1b/itgav/itgb1a/LOC121888075/LOC121908040/LOC121912251/LOC121890607/chrnb1/itga5/popdc2/myoz1a/map2k4a/daam2/spegb/myom3/tmod4/LOC121907117/LOC121895103/ripor2/LOC121880985/LOC121881849/bves/LOC121897830/tmod2/csrp1a/actb1/kif5ab/LOC121892319/ache/unc45a/alpk3a/LOC121908635/csrp2/LOC121896089/LOC121894730/LOC121895127/hsp90aa1.1/cavin4a/myom1b/sgcg/acta1b/mybpc3/adra1ab/tnnt2a/maml1/nfatc3a/ryr1b/tead1a/LOC121883377/LOC121897829/b4gat1/LOC121894579/LOC121889157/katnal1/LOC121906032/LOC121900514/itgb3b/myoz2b/cspg4/igf1/myod1/katna1/LOC121887522/dmd/LOC121905206/LOC121883403/LOC121908041/rbfox1l/LOC121913056/ankhd1/myl9b/myog/actn2b/LOC121903410/gpx1b/mef2aa/wdr1/klhl40b/LOC121895662/LOC121896866/LOC121892381/tnnt3a"
"15","striated muscle contraction","Biological Process",2.01378768879701,7.45337016634135e-11,4.37165004823141e-08,3.84541596231169e-08,"GO:0006941","75/3106","171/14261",75,"myom2a/myl2a/myom2b/LOC121883517/LOC121893746/LOC121893745/LOC121883514/LOC121883529/LOC121908042/LOC121883527/LOC121883513/LOC121883509/dtna/LOC121894285/LOC121884030/LOC121883515/LOC121883532/ryr3/LOC121883511/chrng/myl1/casq2/LOC121894507/myh7l/snta1/mybpha/LOC121883528/LOC121891211/LOC121895500/LOC121908040/LOC121912251/chrnb1/LOC121884840/tnnc1a/LOC121908547/atp1a3b/myom3/aldoab/atp8a2/LOC121907117/LOC121895103/chrne/arg2/cacna1c/smpx/LOC121897830/LOC121883530/atp1b1a/LOC121880591/cacnb1/scn1laa/LOC121896089/synm/myom1b/mybpc3/gja5a/tnnt2a/dub/LOC121883377/LOC121897829/LOC121894579/LOC121884700/LOC121883510/ikbkb/LOC121887066/gaa/slc9a1a/LOC121895055/dmd/LOC121908041/pgam2/pik3ca/chrnd/LOC121892381/tnnt3a"
"16","striated muscle cell differentiation","Biological Process",1.58224959125691,7.99168747798673e-11,4.39442915195795e-08,3.86545304856305e-08,"GO:0051146","163/3106","473/14261",163,"gapdh/myom2a/myl2a/tnnt2e/myom2b/pfkma/pdlim5a/LOC121901062/pdgfra/LOC121908042/ldha/LOC121899291/dtna/lamb1b/itgb2/capn3b/mypn/LOC121892103/actn1/nfatc2a/iqsec1a/casq2/LOC121894507/myh7l/unc45b/lmod1b/lamb1a/snta1/mybpha/LOC121896982/capzb/obscna/csrp1b/cavin4b/nexn/cav1/itga8/LOC121910427/kirrel3l/LOC121896926/acta2/LOC121894558/casq1b/ldhba/LOC121895500/tead1b/itgav/itgb1a/LOC121888075/LOC121908040/LOC121912251/LOC121890607/chrnb1/itga5/popdc2/neo1a/myoz1a/LOC121912256/map2k4a/daam2/spegb/myom3/tmod4/kdm6ba/LOC121907117/LOC121895103/LOC121909298/wasf1/capn1/wasf3b/ripor2/LOC121880985/LOC121881849/acadm/bves/LOC121897830/sox6/tmod2/stim1a/csrp1a/LOC121911051/LOC121908601/actb1/kif5ab/LOC121892319/ache/LOC121909214/LOC121907292/unc45a/alpk3a/calr/LOC121895760/LOC121908635/csrp2/LOC121896089/ntn2/LOC121894730/LOC121895127/hsp90aa1.1/cavin4a/myom1b/sgcg/acta1b/mybpc3/LOC121894217/adra1ab/tnnt2a/igfbp5b/maml1/nfatc3a/ryr1b/capn2b/tead1a/LOC121883377/calr3a/LOC121897829/b4gat1/LOC121894579/LOC121889157/katnal1/LOC121906032/LOC121900514/capn8/itgb3b/bmp4/myoz2b/avpr1aa/waslb/kirrel1a/cspg4/pgk1/arid1ab/igf1/timm44/myod1/foxo3b/slc9a1a/katna1/sik1/LOC121887522/dmd/LOC121905206/LOC121887617/LOC121883403/LOC121908041/rbfox1l/LOC121913056/ankhd1/myl9b/myog/LOC121892100/actn2b/LOC121903410/gpx1b/mef2aa/kat2a/gapdhs/wdr1/klhl40b/LOC121895662/LOC121896866/LOC121892381/tnnt3a"
"17","structural constituent of muscle","Molecular Function",2.39553178980375,1.45378816610804e-10,7.52378134436382e-08,6.61811182490791e-08,"GO:0008307","48/3106","92/14261",48,"myom2a/myl2a/myom2b/LOC121883517/LOC121893746/LOC121893745/LOC121883514/LOC121883529/LOC121883527/LOC121883513/LOC121883509/dtna/LOC121894285/LOC121884030/LOC121883515/LOC121883532/capn3b/LOC121883511/myl1/snta1/mybpha/LOC121883528/obscna/csrp1b/nexn/zgc:153867/mylpfb/myot/myom3/LOC121895103/LOC121897830/LOC121883530/csrp1a/csrp2/LOC121894730/synm/myom1b/sgcg/mybpc3/LOC121897829/actn3b/LOC121900514/LOC121884700/LOC121883510/dmd/tpm4a/myl9b/actn2b"
"18","extracellular matrix","Cellular Component",1.70744023663876,1.62173832803308e-10,7.64500800209022e-08,6.72474591490497e-08,"GO:0031012","119/3106","320/14261",119,"thbs4b/loxa/fbln1/LOC121897605/elna/LOC121910722/tgfbi/serpinf1/frem1a/alpl/crispld2/thbs2a/postnb/col6a2/LOC121910200/nid2a/dcn/col6a1/ntn1b/ccdc80/nid1a/ccbe1/bmp7b/lamb1b/ntn1a/itgb2/LOC121899090/col11a2/lum/serpine1/LOC121890299/serpine2/lamb1a/sparc/thbs4a/LOC121892064/LOC121909354/LOC121913506/aspn/ccn2a/LOC121885487/ctsz/LOC121905749/wnt6b/fbln5/mfap2/itga6a/itgb1a/LOC121885954/LOC121913625/tgfbr3/LOC121882333/ltbp3/col12a1a/cpz/tenm3/LOC121881170/LOC121909298/lama2/col5a1/LOC121886939/LOC121913498/LOC121899965/ltbp1/LOC121880933/frem2b/llgl1/cd248a/lama5/ache/col6a3/calr/LOC121890551/fn1a/LOC121903590/ntn2/LOC121894730/tnn/flrt3/bgnb/tgfb1a/timp2a/LOC121895006/lamc3/LOC121890861/entpd1/hmcn1/LOC121909303/si:dkey-87k14.1/LOC121891899/thbs1b/LOC121906878/LOC121904884/calr3a/vwf/p3h2/adamts1/lama4/itgb3b/rbp3/LOC121894766/adamts12/mamdc2a/LOC121894742/vwa1/adamts3/agrn/igf1/wu:fc38h03/fbln2/LOC121909225/LOC121910242/myoc/LOC121907944/tncb/cfdp1/plod3/smoc2/LOC121905979"
"19",NA,NA,1.91502101622083,1.65100195544117e-10,7.64500800209022e-08,6.72474591490497e-08,"GO:0005924","83/3106","199/14261",83,"thbs4b/LOC121899291/itgb2/ptprfa/epha2a/anxa6/LOC121908664/actn1/afap1/LOC121904032/ajuba/thbs4a/vaspb/aif1l/csrp1b/itgb6/dlc1/nexn/cav1/itga8/syne2b/ptprsa/fermt2/tns2a/LOC121894558/itga6a/itgav/itgb1a/abl1/LOC121888075/itga5/focad/itga7/LOC121911622/LOC121887586/bcar1/sh3kbp1/arl2/LOC121899965/ddr2a/smpx/tns1a/arhgap24/csrp1a/limd1a/asap3/LOC121908577/actb1/tes/LOC121894730/nedd9/LOC121906924/klf11b/LOC121882242/LOC121882802/sorbs3/efhd1/actn3b/pak1/epb41l5/itgb3b/ptk2aa/pgm5/pik3r2/cspg4/ddr2l/dixdc1a/LOC121887522/ddr1/arpc2/LOC121888149/abl2/smfn/epha2b/actn2b/znf384a/LOC121882015/LOC121903410/enah/LOC121899381/tns1b/mapk3/pdlim7"
"20","I band","Cellular Component",1.86592601740041,1.86727904656716e-10,8.21416052584894e-08,7.22538713176935e-08,"GO:0031674","89/3106","219/14261",89,"atp2a1/gapdh/atp2a1l/myom2a/myom2b/pdlim5a/LOC121908042/LOC121912146/capn3b/ryr3/mypn/LOC121892103/actn1/LOC121910885/casq2/myh7l/unc45b/mybpha/igfn1.1/capzb/obscna/csrp1b/cavin4b/nexn/syne2b/fermt2/casq1b/LOC121895500/LOC121888075/LOC121908040/LOC121884840/myot/myoz1a/gpd1b/daam2/myom3/LOC121894571/aldoab/pgm1/cacna1c/csrp1a/desma/LOC121895409/LOC121892319/LOC121906921/LOC121880591/scn1laa/LOC121909093/csrp2/LOC121894730/LOC121907988/hsp90aa1.1/cavin4a/synm/myom1b/LOC121887276/mybpc3/adra1ab/ryr1b/LOC121882242/LOC121883377/LOC121908544/LOC121882802/LOC121889157/actn3b/pak1/LOC121906032/LOC121900514/igfn1.4/flna/myoz2b/pgm5/cspg4/pgk1/LOC121887522/fbp2/dmd/glrx3/LOC121883403/LOC121908041/ankhd1/myl9b/actn2b/LOC121907980/jupa/gapdhs/klhl40b/capza1b/LOC121895662"
"21","mitochondrial protein-containing complex","Cellular Component",1.75458444485328,2.20444981246459e-10,9.2355949762207e-08,8.12386717856625e-08,"GO:0098798","107/3106","280/14261",107,"LOC121884397/pdk2a/grpel1/ndufs2/mrps22/mrps18a/ndufc2/LOC121908631/mrps23/ndufb11/LOC121889849/dnajc15/timm22/ndufb5/mrpl28/atp5f1e/mccc1/mpv17l2/mrpl47/immp2l/LOC121889686/tomm20a/ndufs8b/LOC121886076/mrps15/timm13/dap3/mrpl19/LOC121886075/timm9/LOC121885537/mrpl42/mrps28/mrpl53/mrpl21/timm8b/mrpl12/ndufa5/ndufb9/ndufab1b/timm17a/mrpl44/idh3a/LOC121886378/mrps7/immp1l/mcu/mrps21/pdha1b/pdk1/LOC121900562/ndufa7/timm44/mrpl36/ogdhl/mrps25/tomm5/bckdha/ppiaa/mrpl41/LOC121880680/ndufb4/mrpl16/mccc2/dnajc19/mrpl46/mrpl49/LOC121884327/mrpl3/ndufb3/mrps34/tomm40/mrps6/mrpl27/ndufa11/mrpl17/LOC121898301/mrpl11/sdhb/sdhc/ndufs7/LOC121908033/ndufb6/LOC121891149/atp5mf/LOC121904049/ndufa3/mrpl35/LOC121900357/LOC121908996/ndufa6/LOC121890741/ndufa1/phb/mrps18b/polg/LOC121901076/LOC121910516/micos13/mrpl1/mrpl30/micu2/hsd17b10/LOC121913002/atp5l/atp5md/pdha1a"
