"","category","ratio","pvalue","p.adjust","qvalue","ID","GeneRatio","BgRatio","Count","geneID"
"11","ko01007  Amino acid related enzymes",1.22088083282113,0.215169989110382,0.487356498889441,0.38475513070219,"ko01007","17/3861","67/18578",17,"LOC121887888/tat/si:ch211-217a12.1/aadat/bcat2/got1/farsb/nars2/psat1/sptlc1/LOC121912900/sars2/wars2/alas1/alg12/LOC121900458/farsa"
"12","ko00535  Proteoglycans",1.18807575597699,0.228448358854425,0.487356498889441,0.38475513070219,"ko00535","20/3861","81/18578",20,"dcn/lum/LOC121890299/LOC121913506/aspn/sdc2/tgfbr3/col12a1a/col9a3/LOC121885527/col12a1b/bgnb/LOC121900512/p3h2/gpc5c/LOC121907457/agrn/cspg4/LOC121909394/cd44b"
"13","ko04091  Lectins",1.0957352145471,0.347760269449538,0.676055586567699,0.53372809465871,"ko04091","23/3861","101/18578",23,"colec12/LOC121913506/si:dkey-26c10.5/LOC121910336/LOC121909298/LOC121883761/LOC121885527/cd248a/LOC121913659/calr/LOC121912817/pla2r1/calr3a/LOC121881471/LOC121912891/clgn/os9/LOC121909394/LOC121889503/LOC121895179/LOC121881351/LOC121898195/mrc2"
"14","ko01003  Glycosyltransferases",1.0532062120045,0.36281923981724,0.676055586567699,0.53372809465871,"ko01003","51/3861","233/18578",51,"has2/LOC121907641/chst7/b3gnt5b/mpdu1b/gxylt2/b3galt2/st3gal4/LOC121901197/LOC121881850/LOC121881793/LOC121897083/hs6st1a/st8sia6/LOC121887271/plod1a/LOC121884996/st6galnac3/LOC121894475/eogt/b3gnt9/LOC121894669/galnt18b/b4galt1l/gal3st3/LOC121886375/LOC121905207/usta/b3gat3/b4gat1/LOC121908505/mfng/colgalt1a/galnt14/plod2/LOC121911678/ugt5d1/cercam/LOC121896390/LOC121901833/LOC121887782/chst1/LOC121903509/mgat4a/alg12/dpm1/ext1b/plod3/st3gal3a/ugcg/hs2st1b"
"15","ko03051  Proteasome",1.08836225502892,0.380281267444331,0.676055586567699,0.53372809465871,"ko03051","19/3861","84/18578",19,"hsc70/hspa8b/psmb6/LOC121884750/LOC121903639/psmd8/hsp90aa1.1/LOC121913824/psma8/LOC121882007/LOC121898740/psma6a/psmd2/psmg4/psma3/rad23b/psmd9/psme3/psmb4"
"16","ko02044  Secretion system",1.2029267029267,0.433171997488318,0.729552837875062,0.57596276674347,"ko02044","4/3861","16/18578",4,"oxa1l/srprb/LOC121894019/srp19"
"17","ko01004  Lipid biosynthesis proteins",0.971594644671568,0.597868219097922,0.956589150556675,0.755201960965796,"ko01004","21/3861","104/18578",21,"acsl4a/scd/fasn/acot11b/acsl3a/mboat2a/LOC121901711/acsbg2/acsl3b/LOC121887815/zgc:153738/LOC121886000/hacd4/fads2/elovl8b/slc27a6/LOC121882020/scdb/LOC121904377/slc27a1a/aacs"
"18","ko00537  Glycosylphosphatidylinositol (GPI)-anchored proteins",0.842048692048692,0.842004629560245,0.999980698389668,0.789458446097106,"ko00537","21/3861","120/18578",21,"alpl/nbl1/xpnpep2/gfra4b/LOC121894696/im:7151449/cntn1b/ache/ncam1b/LOC121900512/LOC121883587/LOC121898268/LOC121897459/gpc5c/LOC121907457/LOC121913624/cntn3a.1/LOC121913593/LOC121906130/LOC121913639/ctsla"
"19","ko04031  GTP-binding proteins",0.871411469836667,0.872796175723348,0.999980698389668,0.789458446097106,"ko04031","46/3861","254/18578",46,"arl4aa/gnai3/gng12a/srprb/LOC121894039/rab3db/rnd3a/LOC121897603/rab1ba/arl2/rhoub/ralaa/LOC121899020/arl3b/arl4ab/LOC121898440/rab18a/ralba/LOC121900198/rab34a/LOC121913501/LOC121895127/LOC121900072/LOC121899416/rab20/arl5a/sar1ab/LOC121898386/rhobtb4/cdc42l/rem1/LOC121908160/rab4a/LOC121909227/rab5b/LOC121894742/LOC121883841/LOC121891117/LOC121890117/LOC121891183/znf830/LOC121897560/LOC121900032/gnai1/sf3b4/gnb2"
"20","ko01006  Prenyltransferases",0.601463351463352,0.875103866547912,0.999980698389668,0.789458446097106,"ko01006","2/3861","16/18578",2,"fntb/dhdds"
"21","ko02042  Bacterial toxins",0.400975567642234,0.938984662821397,0.999980698389668,0.789458446097106,"ko02042","1/3861","12/18578",1,"nbl1"
"22","ko03016  Transfer RNA biogenesis",0.788804395361772,0.944223363392419,0.999980698389668,0.789458446097106,"ko03016","30/3861","183/18578",30,"LOC121887888/LOC121912691/aimp1b/nfs1/farsb/flad1/nars2/ftsj1/aimp1a/pts/LOC121889226/trnt1/trmt44/aimp2/trub1/rtcb/sars2/vps13c/wars2/trdmt1/akr1a1b/rnaset2l/qtrt1/alg12/trmt112/trmt61b/wdr12/wdr4/scdb/farsa"
"23","ko03032  DNA replication proteins",0.73756089814484,0.95812551402478,0.999980698389668,0.789458446097106,"ko03032","21/3861","137/18578",21,"nop10/ccnl1a/rufy2/nhp2/rpa1/zgc:110269/cdt1/parp1/purg/mre11a/LOC121912695/mrps34/pold4/snrpb/snrpe/snrpd1/snrpf/polg/snrpd3l/gar1/dkc1"
"24","ko04030  G protein-coupled receptors",0.811613197155366,0.969726815327898,0.999980698389668,0.789458446097106,"ko04030","56/3861","332/18578",56,"adgra2/opn9/fzd4/adgrl2a/drd2a/ackr3a/ramp2/fzd2/ackr4b/adgra3/LOC121894572/rxfp1/ednraa/LOC121899569/LOC121885027/grm5a/lpar4/LOC121898626/fzd3b/calcrla/f2rl1.2/LOC121898748/celsr1a/s1pr5b/LOC121906023/LOC121898627/tmtopsb/oxtrb/LOC121898628/adra1d/LOC121887156/LOC121905675/LOC121895898/LOC121895711/adra1ab/LOC121899328/p2ry1/si:dkey-63b1.1/LOC121908560/fzd1/p2ry10/fzd9b/rgra/ptger4b/avpr1aa/calcrl2/LOC121888167/celsr2/htr7c/LOC121910967/npy8ar/f2rl2/LOC121910371/LOC121887719/LOC121882015/LOC121883940"
"25","ko00199  Cytochrome P450",0.447600633647145,0.986820822286036,0.999980698389668,0.789458446097106,"ko00199","4/3861","43/18578",4,"LOC121904285/LOC121911449/LOC121895651/LOC121912486"
"26","ko04040  Ion channels",0.70170724337391,0.997353653309645,0.999980698389668,0.789458446097106,"ko04040","42/3861","288/18578",42,"tpcn3/ryr3/chrng/kcnk18/LOC121891211/LOC121911630/LOC121895500/LOC121912251/chrnb1/LOC121883889/clns1a/LOC121907117/LOC121910801/chrne/si:ch211-247n2.1/LOC121885652/cacna1c/cacnb1/scn1laa/cacna1ia/chrnb3a/ryr1b/kcnj11l/LOC121906368/LOC121886902/LOC121910887/p2rx5/kcnc4/kcna4/chrna6/trpm4a/LOC121896981/LOC121913129/cacna1ab/LOC121894610/cnga3a/kcnk4a/mcoln2/kcnk5a/LOC121912252/ano8b/chrnd"
"27","ko03021  Transcription machinery",0.730451877439829,0.998669993159075,0.999980698389668,0.789458446097106,"ko03021","63/3861","415/18578",63,"LOC121888854/actc1a/acta2/actl6a/drap1/med29/taf6l/paf1/pin1/plod1a/actb1/med11/LOC121881309/LOC121880586/taf15/LOC121890402/larp7/med8/gtf2e2/irx5a/taf13/aff1/polr2h/LOC121891993/acta1b/nelfa/gtf2h2/LOC121908675/LOC121882041/cavin1b/eaf2/LOC121890403/LOC121885949/polr2f/snapc5/gtf2f1/tada2a/polr2i/ctdsp2/plod2/polr2eb/polr2d/arid1ab/supt5h/LOC121908190/gtf2b/med30/supt4h1/med18/glrx3/LOC121894238/supt7l/polr3d/med19a/LOC121903410/polr2k/plod3/LOC121881047/nono/kat2a/smarcb1a/smarca4a/smarcd3b"
"28","ko03400  DNA repair and recombination proteins",0.649367512199371,0.999980698389668,0.999980698389668,0.789458446097106,"ko03400","61/3861","452/18578",61,"pgd/tp53/her9/hmgb2b/LOC121914036/nav2a/LOC121905826/hmgb1b/LOC121903639/mrps23/LOC121895172/aptx/LOC121890402/tp63/ankle1/neil1/irx5a/rad54b/polr2h/morf4l1/rpa1/LOC121895267/gtf2h2/zgc:110269/ogg1/her6/LOC121890403/polr2f/tdp1/rad51ap1/rbp3/tada2a/polr2i/polr2eb/parp1/polr2d/nudt1/per3/eloal/LOC121908190/cry5/slx1b/rps25/mre11a/apex2/xpa/LOC121894238/ppp6r2a/mrps34/LOC121886566/pold4/rad23b/xrcc6/elob/polr2k/ap5b1/rbx1/LOC121908102/nav3/alkbh3/eif2a"
